"row","col","value"
1,1,0
2,1,1.54356270154089
3,1,2.41943344102959
4,1,3.33696525348562
5,1,4.42351568369477
6,1,5.14487481800963
7,1,6.04703481661431
8,1,7.01559817352082
9,1,8.04187172668958
10,1,9.11909071753595
11,1,10.0418710513873
12,1,11.0922956155414
13,1,12.0196889875585
14,1,13.0179103357135
15,1,14.0259030962769
1,2,1.54356270154089
2,2,0
3,2,1.34004062965213
4,2,2.07736958383029
5,2,3.17641300149563
6,2,4.11696446089775
7,2,5.03810105728981
8,2,6.11449392686012
9,2,7.08430887194504
10,2,8.02840778124972
11,2,9.03863951684554
12,2,10.0981668394964
13,2,11.0446982391414
14,2,12.0798487319972
15,2,13.0186669499578
1,3,2.41943344102959
2,3,1.34004062965213
3,3,0
4,3,1.39797197105711
5,3,2.42043875273227
6,3,3.06005079761111
7,3,4.1926827442129
8,3,5.12969907691294
9,3,6.09927164382675
10,3,7.11169688219595
11,3,8.04731267376591
12,3,9.09397535864399
13,3,10.0353356195657
14,3,11.0918832248933
15,3,12.0358810053802
1,4,3.33696525348562
2,4,2.07736958383029
3,4,1.39797197105711
4,4,0
5,4,1.322005737126
6,4,2.25091731808178
7,4,3.16510409095732
8,4,4.22876537347673
9,4,5.12896548472921
10,4,6.04700796764968
11,4,7.0793136144264
12,4,8.13944470506149
13,4,9.07428884692857
14,4,10.1125455292219
15,4,11.0263564494228
1,5,4.42351568369477
2,5,3.17641300149563
3,5,2.42043875273227
4,5,1.322005737126
5,5,0
6,5,1.67549634779519
7,5,2.43102934950911
8,5,3.53032671389945
9,5,4.27260516509601
10,5,5.13136387109795
11,5,6.12344123284347
12,5,7.28238524426487
13,5,8.16236513330245
14,5,9.19201285585101
15,5,10.0955103736571
1,6,5.14487481800963
2,6,4.11696446089775
3,6,3.06005079761111
4,6,2.25091731808178
5,6,1.67549634779519
6,6,0
7,6,1.56133588912999
8,6,2.21527510102615
9,6,3.11817860373404
10,6,4.1953832640799
11,6,5.054942539223
12,6,6.13683261928257
13,6,7.02549483737354
14,6,8.09449905687802
15,6,9.03245993779375
1,7,6.04703481661431
2,7,5.03810105728981
3,7,4.1926827442129
4,7,3.16510409095732
5,7,2.43102934950911
6,7,1.56133588912999
7,7,0
8,7,1.39029727134418
9,7,2.21759702067996
10,7,3.14534889108171
11,7,4.08145667143608
12,7,5.22539696542021
13,7,6.07463977834068
14,7,7.08240960136897
15,7,8.03387327480293
1,8,7.01559817352082
2,8,6.11449392686012
3,8,5.12969907691294
4,8,4.22876537347673
5,8,3.53032671389945
6,8,2.21527510102615
7,8,1.39029727134418
8,8,0
9,8,1.21421685056822
10,8,2.47058198233294
11,8,3.13416396539312
12,8,4.16957503523198
13,8,5.01320424081152
14,8,6.04220922843589
15,8,7.0340704263787
1,9,8.04187172668958
2,9,7.08430887194504
3,9,6.09927164382675
4,9,5.12896548472921
5,9,4.27260516509601
6,9,3.11817860373404
7,9,2.21759702067996
8,9,1.21421685056822
9,9,0
10,9,1.6257123391281
11,9,2.10583856687583
12,9,3.29414748874281
13,9,4.04633959751683
14,9,5.02392099080496
15,9,6.03059415663701
1,10,9.11909071753595
2,10,8.02840778124972
3,10,7.11169688219595
4,10,6.04700796764968
5,10,5.13136387109795
6,10,4.1953832640799
7,10,3.14534889108171
8,10,2.47058198233294
9,10,1.6257123391281
10,10,0
11,10,1.56910070454979
12,10,2.44964150082744
13,10,3.27053461217951
14,10,4.30557743659793
15,10,5.08423111605618
1,11,10.0418710513873
2,11,9.03863951684554
3,11,8.04731267376591
4,11,7.0793136144264
5,11,6.12344123284347
6,11,5.054942539223
7,11,4.08145667143608
8,11,3.13416396539312
9,11,2.10583856687583
10,11,1.56910070454979
11,11,0
12,11,1.80569036807045
13,11,2.11860430557208
14,11,3.13202787485457
15,11,4.08009253369594
1,12,11.0922956155414
2,12,10.0981668394964
3,12,9.09397535864399
4,12,8.13944470506149
5,12,7.28238524426487
6,12,6.13683261928257
7,12,5.22539696542021
8,12,4.16957503523198
9,12,3.29414748874281
10,12,2.44964150082744
11,12,1.80569036807045
12,12,0
13,12,1.51281539145294
14,12,2.51717609510101
15,12,3.21692927747519
1,13,12.0196889875585
2,13,11.0446982391414
3,13,10.0353356195657
4,13,9.07428884692857
5,13,8.16236513330245
6,13,7.02549483737354
7,13,6.07463977834068
8,13,5.01320424081152
9,13,4.04633959751683
10,13,3.27053461217951
11,13,2.11860430557208
12,13,1.51281539145294
13,13,0
14,13,1.29917699368684
15,13,2.07617159033782
1,14,13.0179103357135
2,14,12.0798487319972
3,14,11.0918832248933
4,14,10.1125455292219
5,14,9.19201285585101
6,14,8.09449905687802
7,14,7.08240960136897
8,14,6.04220922843589
9,14,5.02392099080496
10,14,4.30557743659793
11,14,3.13202787485457
12,14,2.51717609510101
13,14,1.29917699368684
14,14,0
15,14,1.35973759639625
1,15,14.0259030962769
2,15,13.0186669499578
3,15,12.0358810053802
4,15,11.0263564494228
5,15,10.0955103736571
6,15,9.03245993779375
7,15,8.03387327480293
8,15,7.0340704263787
9,15,6.03059415663701
10,15,5.08423111605618
11,15,4.08009253369594
12,15,3.21692927747519
13,15,2.07617159033782
14,15,1.35973759639625
15,15,0
