"","Geo_FIPS","density","medianYearBuilt","PConeUnit","PCownerOccUnits","PCcommutingNotCar","PCmovedWithinCounty","PClessHighSchool","PCsomeCollegeOrMore","PCdoctorate","PCmarriedCouple","PCunmarriedSSCouple","PCwithKids","PCsexMale","medianAge","PCraceBlackAlone","PCraceAsianAlone","PCraceHispanic","PCraceWhiteAlone","PCforeignBorn","perCapitaIncome","PCunemployed","PCpoorStruggling","PCwithInterests","PCveryWealthyHHolds","cluster"
"207",6001436401,0.0672323400880784,0.369230769230769,0.695857190973392,0.623713305375524,0.148126965970832,0.0878121606948968,0.159056316590563,0.619482496194825,0.011986301369863,0.458635150590926,0.00533739992375143,0.319100266869996,0.480112494977903,0.281456953642384,0.163921253515468,0.119726797910808,0.229275478773269,0.482924869425472,0.188563010579885,0.218432811640508,0.0785070785070785,0.249559441507388,0.224933282500953,0.0823484559664506,13
"208",6001436402,0.0183004867815734,0.4,1,0.944444444444444,0.0913633119200571,0.0723776223776224,0.0940133037694013,0.769844789356985,0.0257206208425721,0.63030303030303,0.00909090909090909,0.243434343434343,0.505244755244755,0.397350993377483,0.0653846153846154,0.15979020979021,0.12972027972028,0.644755244755245,0.215734265734266,0.43162106563986,0.138161898965307,0.139160839160839,0.545454545454545,0.323232323232323,1
"209",6001436500,0.0760872829005981,0.461538461538462,0.413606911447084,0.252241482367005,0.11495246326707,0.146027049873204,0.122977346278317,0.601582164688961,0,0.365809922295278,0,0.312014345487149,0.534883720930233,0.140728476821192,0.181270764119601,0.228197674418605,0.327242524916944,0.38828903654485,0.435215946843854,0.146636626001251,0.099388379204893,0.366020273248127,0.119545726240287,0.0227136879856545,4
"210",6001436601,0.170386021252111,0.292307692307692,0.654491609081935,0.369778236204229,0.0881281864530226,0.179705654531371,0.238790406673618,0.302137643378519,0,0.373388344507478,0.0134089736977824,0.481175863847344,0.519014298752662,0.152317880794702,0.176300578034682,0.102829327654396,0.538941283845452,0.348798296318832,0.348189838758747,0.111703049529422,0.123941958887545,0.412077882567691,0.0887055183084064,0.0175348117586385,6
"211",6001436602,0.142773603552884,0.553846153846154,0.294083186877563,0.269412559081702,0.122931442080378,0.177160911758068,0.260320709655408,0.472193790515183,0,0.322754895340986,0,0.430790006752194,0.481222707423581,0.197019867549669,0.220960698689956,0.164192139737991,0.495633187772926,0.293886462882096,0.401091703056769,0.12473155550867,0.11601112435439,0.421557688016068,0.0438892640108035,0.0114787305874409,6
"212",6001436700,0.126727647584658,0.353846153846154,0.77445652173913,0.603290676416819,0.0624628197501487,0.172665916760405,0.298667812634293,0.481736140954018,0,0.507312614259598,0,0.476234003656307,0.51209341117598,0.221854304635762,0.038921323324993,0.204614956908535,0.465387823185988,0.551292743953294,0.406171809841535,0.173386884084727,0.0983606557377049,0.341395607450653,0.280621572212066,0.076782449725777,6
"213",6001436800,0.110663075311583,0.338461538461538,0.681138790035587,0.53858024691358,0.109840954274354,0.121235521235521,0.0923133504965061,0.583670467083487,0.0161824200073556,0.499228395061728,0,0.364969135802469,0.429960119641077,0.205298013245033,0.169491525423729,0.195413758723829,0.389830508474576,0.371635094715852,0.308823529411765,0.186151655125124,0.100573445081606,0.149425287356322,0.18287037037037,0.0270061728395062,4
"214",6001436900,0.147111310817127,0.323076923076923,0.592875318066158,0.485165794066318,0.0970724191063174,0.0897097625329815,0.221556886227545,0.421339139902014,0,0.598022105875509,0.00814426992437464,0.529377545084351,0.542252383260624,0.205298013245033,0.142834060429795,0.163677492325093,0.488608822103732,0.312328324446599,0.380190660849895,0.120270667400101,0.109152542372881,0.451607691064792,0.184409540430483,0.0226876090750436,6
"215",6001437000,0.0542264483486274,0.4,0.651107594936709,0.840970350404313,0.0843222985633979,0.160802367642223,0.144086995922066,0.599909379247848,0,0.460916442048518,0,0.367475292003594,0.436939820742638,0.324503311258278,0.0528169014084507,0.33898847631242,0.395646606914213,0.237836107554417,0.460627400768246,0.208343066408458,0.0123747790218032,0.143725992317542,0.23989218328841,0.0143755615453729,6
"216",6001437100,0.00613286776731188,0.523076923076923,0.824795392543195,0.770137524557957,0.0474634896233666,0.0535250463821892,0.185033654480665,0.537547842153887,0.00461924244423914,0.541912246234447,0.00392927308447937,0.477406679764244,0.507361059992639,0.288079470198676,0.100938535149061,0.47396025027604,0.264446080235554,0.221935958778064,0.442123665807876,0.182790918475763,0.0794964649077427,0.196398891966759,0.201702685003274,0.078912901113294,13
"217",6001437200,0.0676616840303845,0.661538461538462,0.587952859013531,0.704678362573099,0.0615845539280959,0.0808097165991903,0.175798554441595,0.537887619491723,0.00209839123338774,0.542884990253411,0,0.40009746588694,0.477468839884947,0.354304635761589,0.0604026845637584,0.365612016618728,0.233620965164589,0.355544902524768,0.296420581655481,0.184765162875163,0.0509594212016357,0.190079893475366,0.258771929824561,0.0453216374269006,13
"218",6001437300,0.0773450957024352,0.323076923076923,0.683741648106904,0.674129353233831,0.0580645161290323,0.0818342151675485,0.261845386533666,0.470324189526185,0,0.654228855721393,0,0.394278606965174,0.496380558428128,0.241721854304636,0.0427438814201999,0.227852464667356,0.405032747328507,0.367114788004136,0.468459152016546,0.139862405714759,0.160051216389245,0.179248534987935,0.187810945273632,0.013681592039801,4
"219",6001437500,0.183413862913792,0.446153846153846,0.336911643270025,0.259159964253798,0.169756662804171,0.154827413706853,0.382721033508276,0.283811061768268,0.00524828421477594,0.344950848972297,0,0.473637176050045,0.535472972972973,0.190397350993377,0.137065637065637,0.139478764478764,0.512065637065637,0.290540540540541,0.471283783783784,0.097280516016246,0.092964824120603,0.516770186335404,0.0831099195710456,0.00268096514745308,6
"220",6001437600,0.114089233044188,0.307692307692308,0.644889357218124,0.62992125984252,0.147204529370134,0.11630731855451,0.171401956217979,0.406613879832324,0,0.554555680539933,0,0.44206974128234,0.497896634615385,0.269867549668874,0.0811298076923077,0.27734375,0.461237980769231,0.402644230769231,0.4296875,0.150464550256577,0.111178985949908,0.219289978008168,0.21822272215973,0.0483689538807649,4
