"","Geo_FIPS","cluster"
"1",6001400100,1
"2",6001400200,1
"3",6001400300,2
"4",6001400400,2
"5",6001400500,2
"6",6001400600,3
"7",6001400700,3
"8",6001400800,3
"9",6001400900,3
"10",6001401000,3
"11",6001401100,2
"12",6001401200,2
"13",6001401300,4
"14",6001401400,5
"15",6001401500,3
"16",6001401600,5
"17",6001401700,5
"18",6001401800,5
"19",6001402200,5
"20",6001402400,5
"21",6001402500,5
"22",6001402600,6
"23",6001402700,5
"24",6001402800,4
"25",6001402900,4
"26",6001403000,4
"27",6001403100,4
"28",6001403300,4
"29",6001403400,6
"30",6001403501,4
"31",6001403502,6
"32",6001403600,6
"33",6001403701,6
"34",6001403702,6
"35",6001403800,2
"36",6001403900,6
"37",6001404000,6
"38",6001404101,2
"39",6001404102,6
"40",6001404200,1
"41",6001404300,1
"42",6001404400,1
"43",6001404501,1
"44",6001404502,1
"45",6001404600,1
"46",6001404700,1
"47",6001404800,3
"48",6001404900,3
"49",6001405000,2
"50",6001405100,1
"51",6001405200,2
"52",6001405301,6
"53",6001405302,4
"54",6001405401,5
"55",6001405402,5
"56",6001405500,5
"57",6001405600,6
"58",6001405700,5
"59",6001405800,5
"60",6001405901,5
"61",6001405902,5
"62",6001406000,5
"63",6001406100,5
"64",6001406201,5
"65",6001406202,5
"66",6001406300,5
"67",6001406400,5
"68",6001406500,5
"69",6001406601,5
"70",6001406602,5
"71",6001406700,3
"72",6001406800,3
"73",6001406900,3
"74",6001407000,5
"75",6001407101,5
"76",6001407102,5
"77",6001407200,5
"78",6001407300,5
"79",6001407400,5
"80",6001407500,5
"81",6001407600,5
"82",6001407700,3
"83",6001407800,3
"84",6001407900,3
"85",6001408000,1
"86",6001408100,1
"87",6001408200,3
"88",6001408300,3
"89",6001408400,5
"90",6001408500,5
"91",6001408600,5
"92",6001408700,5
"93",6001408800,5
"94",6001408900,5
"95",6001409000,5
"96",6001409100,5
"97",6001409200,5
"98",6001409300,5
"99",6001409400,5
"100",6001409500,5
"101",6001409600,5
"102",6001409700,5
"103",6001409800,3
"104",6001409900,3
"105",6001410000,3
"106",6001410100,3
"107",6001410200,5
"108",6001410300,5
"109",6001410400,5
"110",6001410500,5
"111",6001420100,1
"112",6001420200,2
"113",6001420300,6
"114",6001420400,6
"115",6001420500,2
"116",6001420600,1
"117",6001421100,1
"118",6001421200,1
"119",6001421300,1
"120",6001421400,1
"121",6001421500,1
"122",6001421600,1
"123",6001421700,2
"124",6001421800,2
"125",6001421900,2
"126",6001422000,3
"127",6001422100,2
"128",6001422200,2
"129",6001422300,2
"130",6001422400,6
"131",6001422500,6
"132",6001422600,7
"133",6001422700,6
"134",6001422800,6
"135",6001422900,6
"136",6001423000,2
"137",6001423100,2
"138",6001423200,5
"139",6001423300,3
"140",6001423400,2
"141",6001423500,2
"142",6001423601,2
"143",6001423602,6
"144",6001423700,2
"145",6001423800,1
"146",6001423901,2
"147",6001423902,2
"148",6001424001,5
"149",6001424002,3
"150",6001425101,2
"151",6001425102,2
"152",6001425103,2
"153",6001425104,2
"154",6001426100,1
"155",6001426200,1
"156",6001427100,3
"157",6001427200,6
"158",6001427300,6
"159",6001427600,5
"160",6001427700,2
"161",6001427800,2
"162",6001427900,6
"163",6001428000,6
"164",6001428100,3
"165",6001428200,3
"166",6001428301,7
"167",6001428302,1
"168",6001428400,6
"169",6001428500,2
"170",6001428600,6
"171",6001428700,3
"172",6001430101,1
"173",6001430102,1
"174",6001430200,1
"175",6001430300,3
"176",6001430400,3
"177",6001430500,3
"178",6001430600,3
"179",6001430700,3
"180",6001430800,3
"181",6001430900,5
"182",6001431000,3
"183",6001431100,5
"184",6001431200,5
"185",6001432100,3
"186",6001432200,3
"187",6001432300,3
"188",6001432400,5
"189",6001432501,8
"190",6001432502,3
"191",6001432600,5
"192",6001432700,3
"193",6001432800,3
"194",6001433000,3
"195",6001433102,8
"196",6001433103,5
"197",6001433104,5
"198",6001433200,5
"199",6001433300,3
"200",6001433400,3
"201",6001433500,3
"202",6001433600,3
"203",6001433700,3
"204",6001433800,5
"205",6001433900,5
"206",6001434000,5
"207",6001435102,3
"208",6001435103,1
"209",6001435104,5
"210",6001435200,3
"211",6001435300,5
"212",6001435400,5
"213",6001435500,5
"214",6001435601,5
"215",6001435602,5
"216",6001435700,3
"217",6001435800,3
"218",6001435900,3
"219",6001436000,3
"220",6001436100,3
"221",6001436200,5
"222",6001436300,5
"223",6001436401,3
"224",6001436402,1
"225",6001436500,5
"226",6001436601,5
"227",6001436602,5
"228",6001436700,5
"229",6001436800,3
"230",6001436900,5
"231",6001437000,3
"232",6001437101,8
"233",6001437102,3
"234",6001437200,3
"235",6001437300,3
"236",6001437400,5
"237",6001437500,5
"238",6001437600,5
"239",6001437701,5
"240",6001437702,5
"241",6001437800,3
"242",6001437900,5
"243",6001438000,3
"244",6001438100,3
"245",6001438201,3
"246",6001438203,8
"247",6001438204,3
"248",6001438300,8
"249",6001438400,3
"250",6001440100,3
"251",6001440200,5
"252",6001440301,3
"253",6001440304,8
"254",6001440305,7
"255",6001440306,8
"256",6001440307,3
"257",6001440308,8
"258",6001440331,8
"259",6001440332,7
"260",6001440333,7
"261",6001440334,8
"262",6001440335,7
"263",6001440336,3
"264",6001441100,3
"265",6001441200,3
"266",6001441301,7
"267",6001441302,3
"268",6001441401,7
"269",6001441402,7
"270",6001441501,7
"271",6001441503,7
"272",6001441521,7
"273",6001441522,8
"274",6001441523,7
"275",6001441524,7
"276",6001441601,3
"277",6001441602,3
"278",6001441700,3
"279",6001441800,3
"280",6001441921,6
"281",6001441923,6
"282",6001441924,7
"283",6001441925,6
"284",6001441926,6
"285",6001441927,6
"286",6001442000,7
"287",6001442100,7
"288",6001442200,7
"289",6001442301,8
"290",6001442302,8
"291",6001442400,3
"292",6001442500,3
"293",6001442601,3
"294",6001442602,3
"295",6001442700,3
"296",6001442800,3
"297",6001442900,3
"298",6001443001,3
"299",6001443002,3
"300",6001443102,7
"301",6001443103,7
"302",6001443104,7
"303",6001443105,7
"304",6001443200,7
"305",6001443301,7
"306",6001443321,7
"307",6001443322,7
"308",6001444100,3
"309",6001444200,3
"310",6001444301,3
"311",6001444302,3
"312",6001444400,3
"313",6001444500,3
"314",6001444601,3
"315",6001444602,3
"316",6001450101,6
"317",6001450102,3
"318",6001450200,6
"319",6001450300,3
"320",6001450400,3
"321",6001450501,3
"322",6001450502,1
"323",6001450601,1
"324",6001450602,3
"325",6001450603,3
"326",6001450604,1
"327",6001450605,1
"328",6001450606,1
"329",6001450607,6
"330",6001450701,1
"331",6001450741,3
"332",6001450742,3
"333",6001450743,6
"334",6001450744,3
"335",6001450745,1
"336",6001450746,3
"337",6001450750,6
"338",6001450751,1
"339",6001450752,7
"340",6001451101,1
"341",6001451102,1
"342",6001451201,3
"343",6001451202,3
"344",6001451300,3
"345",6001451401,3
"346",6001451403,3
"347",6001451404,3
"348",6001451501,3
"349",6001451503,3
"350",6001451504,1
"351",6001451505,1
"352",6001451506,3
"353",6001451601,3
"354",6001451602,3
"355",6001451701,3
"356",6001451703,3
"357",6001451704,1
"358",6001983200,2
"359",6013301000,3
"360",6013302005,3
"361",6013302006,3
"362",6013302007,3
"363",6013302008,3
"364",6013302009,3
"365",6013302010,3
"366",6013303102,3
"367",6013303103,3
"368",6013303201,3
"369",6013303202,3
"370",6013303203,3
"371",6013303204,3
"372",6013303205,1
"373",6013304001,3
"374",6013304002,1
"375",6013304003,1
"376",6013304004,1
"377",6013304005,3
"378",6013305000,5
"379",6013306002,3
"380",6013306003,3
"381",6013306004,3
"382",6013307101,3
"383",6013307102,3
"384",6013307201,5
"385",6013307202,5
"386",6013307204,3
"387",6013307205,3
"388",6013308001,3
"389",6013308002,3
"390",6013309000,3
"391",6013310000,5
"392",6013311000,5
"393",6013312000,5
"394",6013313101,5
"395",6013313102,5
"396",6013313103,3
"397",6013313203,3
"398",6013313204,3
"399",6013313205,3
"400",6013313206,5
"401",6013314102,5
"402",6013314103,5
"403",6013314104,5
"404",6013314200,5
"405",6013315000,3
"406",6013316000,5
"407",6013317000,1
"408",6013318000,3
"409",6013319000,3
"410",6013320001,3
"411",6013320003,3
"412",6013320004,3
"413",6013321101,3
"414",6013321102,1
"415",6013321103,3
"416",6013321200,3
"417",6013322000,3
"418",6013323000,3
"419",6013324001,6
"420",6013324002,6
"421",6013325000,3
"422",6013326000,3
"423",6013327000,3
"424",6013328000,4
"425",6013329000,3
"426",6013330000,3
"427",6013331000,3
"428",6013332000,3
"429",6013333101,3
"430",6013333102,3
"431",6013333200,3
"432",6013334001,3
"433",6013334004,6
"434",6013334006,3
"435",6013334200,3
"436",6013335000,3
"437",6013336101,5
"438",6013336102,5
"439",6013336201,3
"440",6013336202,5
"441",6013337100,3
"442",6013337200,3
"443",6013337300,1
"444",6013338101,3
"445",6013338102,3
"446",6013338201,3
"447",6013338203,6
"448",6013338204,3
"449",6013338301,1
"450",6013338302,3
"451",6013339001,6
"452",6013339002,6
"453",6013340001,3
"454",6013340002,3
"455",6013341000,3
"456",6013343001,1
"457",6013343002,3
"458",6013343003,1
"459",6013345101,3
