"","Density","median year of construction","One Unit","Owner-occupied","Public Transit","Moved within county in the year","Less than High School","Some college","PhD holder","Married couple","Same-sex couples","With kids","Males","Median age","Blacks","Asian","Hispanic","Whites","Foreign-born","Per capita income","Unemployment","Poor and Struggling","With interests","Very wealthy"
"2",0.178598214381123,-0.249293276848553,-0.399506843580597,-0.307960575777284,0.334890810939454,0.0674556914433092,-0.0224369415274059,0.0710491056373397,0.0268423402315226,-0.237277226641631,0.138623821056067,-0.206383628370667,0.067395737824935,-0.049438144438892,0.187179350525215,-0.0379029610058053,-0.0449504863175949,-0.0124509646331703,-0.0169719577037656,-0.00603583514909611,0.00201169207258267,0.131482494611188,-0.0730614800766038,-0.0972836613254736
"3",0.0252090697759884,-0.155795652995053,-0.0364727048521301,-0.125640999300509,0.0492375646034445,0.116998684466172,0.18433633506496,-0.203229464088247,-0.159557718412178,-0.14779594865028,-0.00309108180523515,0.0689565733147484,-0.0492607784584456,-0.116782970945048,0.454119527096026,-0.132149784482319,0.116553877648705,-0.221963275257927,-0.044229044792591,-0.202726477418589,0.189696661378985,0.284428937559417,-0.244576993407989,-0.280222564461706
"4",0.0833348891744248,0.0712539558331557,-0.580950659284532,-0.413634827719263,0.362345826090743,0.105227849235314,0.129048924648203,-0.0597401064591715,-0.0143022576548093,-0.246838207576937,0.0715204952324885,-0.289310090281024,0.0505534198262593,0.0617899556673259,0.233107569639069,0.14619231390612,-0.113186964788086,-0.178700833168869,0.151778462719882,-0.0496149251461319,0.0256190698234738,0.262119447848439,-0.183527087203171,-0.167524909305815
"5",0.42753469703999,-0.344965325207737,-0.592359900763863,-0.535243077848323,0.547729192927158,-0.00604224115804075,0.389786181498873,-0.355061933782736,-0.142633032089802,-0.191907713140213,-0.0426378385839284,-0.2203397558549,0.0930069711250275,0.164507321817085,-0.0023259992197785,0.347916773176009,-0.152181857176384,-0.351197455079897,0.34149169899103,-0.200180421816874,0.0267760032756378,0.420173970538838,-0.241866430028687,-0.286130901917364
"6",0.0469166363764768,-0.0269222245045143,-0.0439061007856558,-0.11100492396202,-0.0275749990282692,0.0650159792122033,0.284660817674676,-0.293992215267011,-0.153487652217724,-0.028752235156479,-0.043599205413474,0.103300995309623,0.0181006151172958,-0.120348773595809,0.0521781531936249,-0.0416977090787535,0.29026288143275,-0.0759473378325056,0.154006465846178,-0.186026731099657,0.0965710965268771,0.235747603507363,-0.211910820420713,-0.223073372441636
"7",0.130514642288585,-0.286002655400914,-0.248445151081908,-0.12680548648613,0.28369254936167,-0.0041929614458025,-0.142637017527872,0.174957802601584,0.154243970729395,-0.122540622430833,0.121297147806877,-0.162247859713401,0.0135247848348672,-0.0110714914042555,-0.0717849235005658,0.0120116534034305,-0.159328635665398,0.103699745032928,-0.0537734477422949,0.177928749950665,-0.0918612297112213,-0.074874914427107,0.110545550333106,0.129285320156991
"8",-0.0881443324630963,0.17897788753157,0.125146178291252,0.111064172512455,-0.141679255655471,-0.00235480113212971,-0.0620021864829671,0.0402634030344148,-0.0465753746534901,0.0591799532911365,-0.0566001079283888,0.0157374507160395,-0.00916148820857932,0.0442811046655724,-0.0739993997394191,-0.153202962054549,-0.0064694995046008,0.163090073829541,-0.167175226058273,-0.000985301387281923,-0.0105742489478418,-0.0728970928816891,0.037361739285744,-0.00697246479537267
"9",0.0158669385870714,0.157491862872014,0.0124243249612085,0.0194928668838479,-0.0949272780120152,0.00799869078516952,-0.00889016105627261,0.0390818582541843,0.0374511497985049,0.0849396716852115,-0.0654950893391659,0.0798849218380094,0.0116182915930136,-0.0301183894986659,-0.0650735831026788,0.339642825602716,-0.0829183290300731,-0.294253439942283,0.244840703619019,-0.0107689828461175,0.00402345089356643,-0.0722902864219683,-0.00315256532823471,0.0501042903483968
"10",0.154570804476544,-0.0582018227338637,-0.428313729056798,-0.540848214226784,0.474328186740762,0.275367776248167,-0.161623259072103,0.157464528406922,0.262211787831195,-0.372548362315585,-0.0450390311980739,-0.315624031670119,0.0258286694962295,-0.351905312887349,0.0165117218555076,0.131794662045766,-0.0886407502270489,-0.0295780137907933,-0.0399841590566803,-0.219067244983915,0.0730625068921167,0.333675691439541,-0.0919509583572634,-0.233257944847737
"11",0.120001388389252,-0.300825348746559,0.0642453460232111,0.0343015270461919,0.201368966615325,-0.0823860181981956,0.106327576036567,-0.0618277056268642,-0.0410573323139704,-0.0150249085284282,0.099483239957786,-0.0179351608180761,-0.0230218963884876,0.0322325307595978,0.0137999568711898,0.201621075699615,-0.0200968575544196,-0.169474775000497,0.149911057009992,-0.0533904441885686,0.0146848623228707,0.0532108183878466,0.00143336084605616,-0.02658966520018
"12",-0.109593324327364,0.373576179017104,0.128722424709245,-0.677781074467312,0.214651753752432,0.0957462180966676,-0.30763399013169,0.134747448390068,-0.172196770271932,0.228135498467922,-0.153274056651261,0.294553198538737,0.256988441239672,-0.336670680972716,0.159596934074844,-0.23831974461611,-0.0955778178668422,0.160880987448948,-0.420564641566691,-0.181673405242435,-0.019827025141509,0.0650573958257153,-0.27054987976892,-0.404892603250685
"13",-0.0444843077377731,0.11128584252934,0.0842927670511355,0.0566552057118361,-0.101686091936277,0.0197136528503613,0.0749705744395704,-0.09046645416864,-0.108057807180003,0.0385052039856465,-0.0391145370383895,0.0478347251083748,0.00597811719115304,-0.0277204237617444,0.0449230148143721,-0.0197776542113757,0.113811238468797,-0.0246220277180863,0.00671933477621567,-0.0867041636005658,0.0321249128748226,0.0438371239843714,-0.0673217612113768,-0.100348352555655
"14",-0.0574570868188452,0.182804944527575,0.158809905856339,0.164495320341854,-0.122021142395543,-0.103561656962864,-0.119710293644654,0.13382942080361,0.114194522300107,0.150983839178704,-0.02269527330568,0.0914085980882974,-0.00690056470150591,0.0457893716268469,-0.0662112094664309,0.268068470129552,-0.171281213714495,-0.177307411026998,0.126174553433604,0.0874840198993009,-0.068437377063198,-0.214769591389564,0.146150929669133,0.226752707035154
