"","Geo_FIPS","density","PConeUnit","PCcommutingNotCar","PClessHighSchool","PCsomeCollegeOrMore","PCdoctorate","PCmarriedCouple","PCwithKids","PCunmarriedSSCouple","PCsexMale","medianAge","PCraceWhiteAlone","PCraceBlackAlone","PCraceAsianAlone","PCraceHispanic","PCforeignBorn","PCownerOccUnits","PCwithInterests","perCapitaIncome","PCunemployed","PCpoorStruggling","PCveryWealthyHHolds","year.x","year.y","cluster"
"1301",6085510801,6228.819,0.752121482804824,0.101237842617153,0.00955921402018056,0.970791290493893,0.144184811471057,0.752317198764161,0.392378990731205,0.0108135942327497,0.50529701097238,44,0.595724555429436,0.00227014755959137,0.351305334846765,0.0516458569807037,0.344305713204692,0.789392378990731,0.649845520082389,71718,0.0654168328679697,0.0174110522331567,0.347064881565396,"2013",2013,1
"1302",6085510802,5671.331,0.887686062246279,0.119337016574586,0.0113960113960114,0.913817663817664,0.198717948717949,0.626522327469553,0.414073071718539,0,0.489736070381232,43.9,0.704301075268817,0.0205278592375367,0.206256109481916,0.0547409579667644,0.30791788856305,0.81596752368065,0.622462787550744,76313,0.0544354838709677,0.067156862745098,0.396481732070365,"2013",2013,1
"1303",6085510803,6472.739,0.691509433962264,0.114727420667209,0.0283333333333333,0.902777777777778,0.176666666666667,0.586240310077519,0.353682170542636,0,0.478862109838009,43.5,0.533781114184117,0.0102726195179771,0.378111418411695,0.0347688660608455,0.353220071118135,0.579457364341085,0.501937984496124,64881,0.0909090909090909,0.146187277755828,0.271317829457364,"2013",2013,1
"1304",6085510900,8493.696,0.795145631067961,0.154320987654321,0.027547472586253,0.95025407863065,0.154586787911206,0.623311655827914,0.363181590795398,0,0.503967521682967,41.4,0.581288060527773,0.0308174940025835,0.281786307436796,0.106108138032847,0.340099649381805,0.587793896948474,0.52376188094047,68690,0.0919851200541089,0.109429784093006,0.341670835417709,"2013",2013,1
"1305",6085511000,8871.787,0.6727199354318,0.116122517670818,0.0507231188430099,0.883252986795221,0.137078180674911,0.679002079002079,0.446985446985447,0,0.510338759348878,40.7,0.555506672532629,0.0297697609620179,0.336706261915237,0.102067751869776,0.350344625311629,0.613721413721414,0.456133056133056,53189,0.103643966547192,0.0758286887650337,0.323076923076923,"2013",2013,1
"1306",6085511100,6425.408,0.995878413189078,0.0981725456863578,0.00318302387267905,0.963395225464191,0.152254641909814,0.720533333333333,0.4176,0,0.501468968049945,45.4,0.655159750275431,0.00697759823723834,0.298384135145061,0.0554535438854205,0.250459052515608,0.847466666666667,0.6288,82082,0.0673374613003096,0.0962174072713918,0.473066666666667,"2013",2013,1
"1307",6085511200,6183.149,0.902078774617068,0.125890736342043,0.00851581508515815,0.980535279805353,0.121046228710462,0.695136417556346,0.446026097271649,0,0.522597719869707,44.3,0.779112377850163,0.0215798045602606,0.122557003257329,0.056799674267101,0.172027687296417,0.847568208778173,0.699288256227758,104621,0.108723135271808,0.0515065146579805,0.493475682087782,"2013",2013,1
"1308",6085511301,9686.782,0.341541755888651,0.239352129574085,0.0290780141843972,0.917375886524823,0.151063829787234,0.420814479638009,0.256221719457014,0,0.506919945725916,43.6,0.778561736770692,0.0138398914518318,0.155766621438263,0.0811397557666214,0.213025780189959,0.437782805429864,0.473981900452489,101295,0.0487668161434978,0.151095092874965,0.319004524886878,"2013",2013,1
"1309",6085511302,10572.75,0.26972860125261,0.353217472992015,0.0169394200401952,0.946023542922768,0.0979041056560436,0.309877622377622,0.111013986013986,0.0218531468531469,0.46538081107814,36,0.729475766567755,0.0284371909000989,0.200544015825915,0.072700296735905,0.331107814045499,0.293269230769231,0.429195804195804,86629,0.0413393964448119,0.20164397636784,0.226398601398601,"2013",2013,1
"1310",6085511400,5685.08,0.902315484804631,0.115207373271889,0,0.94548626253816,0.0902747492368077,0.609435421500387,0.408352668213457,0,0.458938630299437,45.4,0.834865105247554,0.0391343018084791,0.099021642454788,0.0850874592351023,0.199229172843166,0.65661252900232,0.566898685228152,94692,0.0529882932840419,0.0927957308034391,0.438515081206497,"2013",2013,1
