"Geo_FIPS","year","cluster"
6001400100,2010,1
6001400200,2010,1
6001400300,2010,7
6001400400,2010,7
6001400500,2010,2
6001400600,2010,2
6001400700,2010,2
6001400800,2010,2
6001400900,2010,2
6001401000,2010,3
6001401100,2010,2
6001401200,2010,7
6001401300,2010,4
6001401400,2010,3
6001401500,2010,3
6001401600,2010,3
6001401700,2010,3
6001401800,2010,3
6001402200,2010,3
6001402400,2010,3
6001402500,2010,3
6001402600,2010,4
6001402700,2010,3
6001402800,2010,4
6001402900,2010,4
6001403000,2010,5
6001403100,2010,4
6001403300,2010,4
6001403400,2010,2
6001403501,2010,4
6001403502,2010,2
6001403600,2010,2
6001403701,2010,2
6001403702,2010,2
6001403800,2010,7
6001403900,2010,7
6001404000,2010,2
6001404101,2010,7
6001404102,2010,7
6001404200,2010,1
6001404300,2010,1
6001404400,2010,1
6001404501,2010,1
6001404502,2010,1
6001404600,2010,1
6001404700,2010,1
6001404800,2010,1
6001404900,2010,11
6001405000,2010,1
6001405100,2010,1
6001405200,2010,2
6001405301,2010,2
6001405302,2010,4
6001405401,2010,3
6001405402,2010,3
6001405500,2010,3
6001405600,2010,3
6001405700,2010,3
6001405800,2010,6
6001405901,2010,6
6001405902,2010,6
6001406000,2010,6
6001406100,2010,6
6001406201,2010,6
6001406202,2010,6
6001406300,2010,6
6001406400,2010,3
6001406500,2010,3
6001406601,2010,3
6001406602,2010,3
6001406700,2010,1
6001406800,2010,1
6001406900,2010,11
6001407000,2010,6
6001407101,2010,6
6001407102,2010,6
6001407200,2010,6
6001407300,2010,6
6001407400,2010,6
6001407500,2010,3
6001407600,2010,3
6001407700,2010,3
6001407800,2010,3
6001407900,2010,1
6001408000,2010,1
6001408100,2010,14
6001408200,2010,3
6001408300,2010,3
6001408400,2010,3
6001408500,2010,3
6001408600,2010,3
6001408700,2010,3
6001408800,2010,3
6001408900,2010,3
6001409000,2010,3
6001409100,2010,3
6001409200,2010,3
6001409300,2010,3
6001409400,2010,6
6001409500,2010,6
6001409600,2010,3
6001409700,2010,3
6001409800,2010,3
6001409900,2010,8
6001410000,2010,8
6001410100,2010,3
6001410200,2010,3
6001410300,2010,3
6001410400,2010,3
6001410500,2010,3
6001420100,2010,1
6001420200,2010,7
6001420300,2010,7
6001420400,2010,15
6001420500,2010,7
6001420600,2010,1
6001421100,2010,1
6001421200,2010,1
6001421300,2010,1
6001421400,2010,1
6001421500,2010,1
6001421600,2010,1
6001421700,2010,7
6001421800,2010,1
6001421900,2010,1
6001422000,2010,2
6001422100,2010,2
6001422200,2010,11
6001422300,2010,7
6001422400,2010,10
6001422500,2010,10
6001422600,2010,11
6001422700,2010,10
6001422800,2010,10
6001422900,2010,10
6001423000,2010,7
6001423100,2010,2
6001423200,2010,2
6001423300,2010,2
6001423400,2010,2
6001423500,2010,2
6001423601,2010,7
6001423602,2010,10
6001423700,2010,7
6001423800,2010,1
6001423901,2010,7
6001423902,2010,7
6001424001,2010,2
6001424002,2010,3
6001425101,2010,7
6001425102,2010,15
6001425103,2010,15
6001425104,2010,2
6001426100,2010,1
6001426200,2010,1
6001427100,2010,1
6001427200,2010,11
6001427300,2010,1
6001427600,2010,3
6001427700,2010,2
6001427800,2010,11
6001427900,2010,11
6001428000,2010,2
6001428100,2010,11
6001428200,2010,1
6001428301,2010,14
6001428302,2010,14
6001428400,2010,7
6001428500,2010,7
6001428600,2010,7
6001428700,2010,15
6001430101,2010,14
6001430102,2010,1
6001430200,2010,1
6001430300,2010,1
6001430400,2010,1
6001430500,2010,13
6001430600,2010,1
6001430700,2010,1
6001430800,2010,1
6001430900,2010,15
6001431000,2010,6
6001431100,2010,15
6001431200,2010,8
6001432100,2010,1
6001432200,2010,13
6001432300,2010,6
6001432400,2010,6
6001432501,2010,11
6001432502,2010,6
6001432600,2010,15
6001432700,2010,1
6001432800,2010,1
6001433000,2010,13
6001433102,2010,11
6001433103,2010,6
6001433104,2010,15
6001433200,2010,15
6001433300,2010,13
6001433400,2010,13
6001433500,2010,13
6001433600,2010,6
6001433700,2010,6
6001433800,2010,6
6001433900,2010,3
6001434000,2010,6
6001435102,2010,14
6001435103,2010,14
6001435104,2010,13
6001435200,2010,13
6001435300,2010,3
6001435400,2010,15
6001435500,2010,6
6001435601,2010,6
6001435602,2010,6
6001435700,2010,13
6001435800,2010,13
6001436000,2010,13
6001436100,2010,6
6001436200,2010,6
6001436300,2010,6
6001436401,2010,13
6001436402,2010,1
6001436500,2010,15
6001436601,2010,6
6001436602,2010,6
6001436700,2010,6
6001436800,2010,6
6001436900,2010,6
6001437000,2010,13
6001437101,2010,9
6001437102,2010,13
6001437200,2010,13
6001437300,2010,6
6001437500,2010,6
6001437600,2010,6
6001437701,2010,6
6001437702,2010,6
6001437800,2010,13
6001437900,2010,6
6001438000,2010,13
6001438100,2010,13
6001438201,2010,6
6001438203,2010,9
6001438204,2010,13
6001438300,2010,6
6001438400,2010,13
6001440100,2010,13
6001440200,2010,6
6001440301,2010,13
6001440304,2010,14
6001440305,2010,14
6001440306,2010,9
6001440307,2010,13
6001440308,2010,9
6001440331,2010,9
6001440332,2010,14
6001440333,2010,14
6001440334,2010,9
6001440335,2010,14
6001440336,2010,13
6001441100,2010,1
6001441200,2010,13
6001441301,2010,9
6001441302,2010,13
6001441401,2010,13
6001441402,2010,14
6001441501,2010,14
6001441503,2010,14
6001441521,2010,14
6001441522,2010,14
6001441523,2010,9
6001441524,2010,14
6001441601,2010,13
6001441602,2010,13
6001441700,2010,13
6001441800,2010,13
6001441921,2010,15
6001441923,2010,15
6001441924,2010,9
6001441925,2010,9
6001441926,2010,6
6001441927,2010,9
6001442000,2010,14
6001442100,2010,14
6001442200,2010,14
6001442301,2010,13
6001442302,2010,15
6001442400,2010,13
6001442500,2010,13
6001442601,2010,14
6001442602,2010,13
6001442700,2010,1
6001442800,2010,13
6001442900,2010,13
6001443001,2010,13
6001443002,2010,13
6001443102,2010,14
6001443103,2010,14
6001443104,2010,14
6001443105,2010,14
6001443200,2010,14
6001443301,2010,14
6001443321,2010,9
6001443322,2010,14
6001444100,2010,1
6001444200,2010,13
6001444301,2010,13
6001444302,2010,13
6001444400,2010,6
6001444500,2010,13
6001444601,2010,13
6001444602,2010,9
6001450101,2010,9
6001450102,2010,13
6001450200,2010,15
6001450300,2010,8
6001450400,2010,1
6001450501,2010,8
6001450502,2010,1
6001450601,2010,1
6001450602,2010,1
6001450603,2010,8
6001450604,2010,8
6001450605,2010,1
6001450606,2010,14
6001450607,2010,15
6001450701,2010,1
6001450741,2010,1
6001450742,2010,1
6001450743,2010,9
6001450744,2010,1
6001450745,2010,14
6001450746,2010,1
6001450750,2010,8
6001450751,2010,14
6001450752,2010,14
6001451101,2010,1
6001451102,2010,1
6001451201,2010,8
6001451202,2010,8
6001451300,2010,8
6001451401,2010,1
6001451403,2010,1
6001451404,2010,6
6001451501,2010,1
6001451503,2010,8
6001451504,2010,8
6001451505,2010,8
6001451506,2010,15
6001451601,2010,1
6001451602,2010,8
6001451701,2010,8
6001451703,2010,1
6001451704,2010,8
6013301000,2010,8
6013302005,2010,13
6013302006,2010,8
6013302007,2010,13
6013302008,2010,13
6013302009,2010,13
6013302010,2010,8
6013303102,2010,8
6013303103,2010,13
6013303201,2010,8
6013303202,2010,8
6013303203,2010,8
6013303204,2010,13
6013303205,2010,8
6013304001,2010,8
6013304002,2010,8
6013304003,2010,8
6013304004,2010,8
6013304005,2010,8
6013305000,2010,3
6013306002,2010,13
6013306003,2010,13
6013306004,2010,13
6013307101,2010,13
6013307102,2010,13
6013307201,2010,3
6013307202,2010,6
6013307204,2010,13
6013307205,2010,3
6013308001,2010,13
6013308002,2010,8
6013309000,2010,15
6013310000,2010,3
6013311000,2010,3
6013312000,2010,3
6013313101,2010,3
