"Geo_FIPS","year","cluster"
6001400100,2014,1
6001400200,2014,1
6001400300,2014,7
6001400400,2014,7
6001400500,2014,2
6001400600,2014,2
6001400700,2014,2
6001400800,2014,2
6001400900,2014,2
6001401000,2014,2
6001401100,2014,2
6001401200,2014,7
6001401300,2014,4
6001401400,2014,3
6001401500,2014,2
6001401600,2014,2
6001401700,2014,15
6001401800,2014,3
6001402200,2014,3
6001402400,2014,3
6001402500,2014,3
6001402600,2014,4
6001402700,2014,3
6001402800,2014,4
6001402900,2014,4
6001403000,2014,5
6001403100,2014,4
6001403300,2014,4
6001403400,2014,4
6001403501,2014,4
6001403502,2014,2
6001403600,2014,2
6001403701,2014,2
6001403702,2014,2
6001403800,2014,7
6001403900,2014,2
6001404000,2014,2
6001404101,2014,7
6001404102,2014,2
6001404200,2014,1
6001404300,2014,1
6001404400,2014,1
6001404501,2014,1
6001404502,2014,1
6001404600,2014,1
6001404700,2014,1
6001404800,2014,11
6001404900,2014,11
6001405000,2014,1
6001405100,2014,1
6001405200,2014,2
6001405301,2014,2
6001405302,2014,4
6001405401,2014,3
6001405402,2014,6
6001405500,2014,3
6001405600,2014,3
6001405700,2014,3
6001405800,2014,6
6001405901,2014,6
6001405902,2014,6
6001406000,2014,6
6001406100,2014,6
6001406201,2014,6
6001406202,2014,6
6001406300,2014,6
6001406400,2014,3
6001406500,2014,6
6001406601,2014,3
6001406602,2014,3
6001406700,2014,11
6001406800,2014,1
6001406900,2014,11
6001407000,2014,6
6001407101,2014,6
6001407102,2014,6
6001407200,2014,6
6001407300,2014,6
6001407400,2014,6
6001407500,2014,3
6001407600,2014,3
6001407700,2014,3
6001407800,2014,3
6001407900,2014,1
6001408000,2014,1
6001408100,2014,14
6001408200,2014,3
6001408300,2014,3
6001408400,2014,3
6001408500,2014,3
6001408600,2014,3
6001408700,2014,3
6001408800,2014,3
6001408900,2014,3
6001409000,2014,3
6001409100,2014,3
6001409200,2014,3
6001409300,2014,6
6001409400,2014,6
6001409500,2014,3
6001409600,2014,3
6001409700,2014,3
6001409800,2014,3
6001409900,2014,8
6001410000,2014,8
6001410100,2014,3
6001410200,2014,3
6001410300,2014,6
6001410400,2014,3
6001410500,2014,3
6001420100,2014,1
6001420200,2014,7
6001420300,2014,7
6001420500,2014,11
6001420600,2014,1
6001421100,2014,1
6001421200,2014,1
6001421300,2014,1
6001421400,2014,1
6001421500,2014,1
6001421600,2014,1
6001421700,2014,7
6001421800,2014,1
6001421900,2014,1
6001422000,2014,15
6001422100,2014,11
6001422200,2014,7
6001422300,2014,7
6001422400,2014,10
6001422500,2014,10
6001422700,2014,10
6001422800,2014,10
6001422900,2014,10
6001423000,2014,7
6001423100,2014,7
6001423200,2014,2
6001423300,2014,3
6001423400,2014,2
6001423500,2014,2
6001423601,2014,7
6001423602,2014,10
6001423700,2014,7
6001423800,2014,1
6001423901,2014,7
6001423902,2014,7
6001424001,2014,2
6001424002,2014,2
6001425101,2014,7
6001425102,2014,15
6001425103,2014,15
6001425104,2014,2
6001426100,2014,1
6001426200,2014,1
6001427100,2014,1
6001427200,2014,11
6001427300,2014,11
6001427600,2014,6
6001427700,2014,2
6001427800,2014,11
6001427900,2014,11
6001428000,2014,2
6001428100,2014,11
6001428200,2014,11
6001428301,2014,14
6001428302,2014,14
6001428400,2014,7
6001428500,2014,7
6001428600,2014,7
6001428700,2014,15
6001430101,2014,14
6001430102,2014,1
6001430200,2014,8
6001430300,2014,1
6001430400,2014,1
6001430500,2014,13
6001430600,2014,1
6001430700,2014,1
6001430800,2014,8
6001430900,2014,15
6001431000,2014,6
6001431100,2014,15
6001431200,2014,8
6001432100,2014,1
6001432200,2014,13
6001432300,2014,13
6001432400,2014,6
6001432501,2014,6
6001432502,2014,13
6001432600,2014,15
6001432700,2014,1
6001432800,2014,1
6001433000,2014,13
6001433102,2014,6
6001433103,2014,6
6001433104,2014,15
6001433200,2014,15
6001433300,2014,13
6001433400,2014,9
6001433500,2014,13
6001433600,2014,6
