"row","col","value"
1,1,0
2,1,1.17583409271385
3,1,1.36149115883002
4,1,1.46127926932887
5,1,1.88878029529472
6,1,1.21232705694032
7,1,0.752748346624308
8,1,0.467565751855964
9,1,0.81957358945324
10,1,1.46895048066648
11,1,0.91606452430556
12,1,1.42794328408329
13,1,0.687694232661171
14,1,0.682634242238856
15,1,0.85203149363702
1,2,1.17583409271385
2,2,0
3,2,0.892025161707044
4,2,0.561662165205421
5,2,1.04383885541326
6,2,0.974369730797886
7,2,0.618435334909589
8,2,1.17772491763114
9,2,1.08969362351037
10,2,0.674782559074453
11,2,0.834867843123533
12,2,1.40462575738343
13,2,0.992652604738231
14,2,1.38663094871542
15,2,0.696914021902722
1,3,1.36149115883002
2,3,0.892025161707044
3,3,0
4,3,0.976895916595668
5,3,1.3632768448588
6,3,0.603250266440381
7,3,1.25641895624853
8,3,1.14621665477406
9,3,1.09595373314253
10,3,1.25548100114484
11,3,0.871344518174893
12,3,1.30398919613014
13,3,0.841404181903677
14,3,1.42473628249896
15,3,0.928671941899829
1,4,1.46127926932887
2,4,0.561662165205421
3,4,0.976895916595668
4,4,0
5,4,0.864695998021302
6,4,1.03277721355598
7,4,1.00890232757921
8,4,1.37202645160935
9,4,1.14292910696313
10,4,0.752532631065704
11,4,1.05673139983772
12,4,1.50018669063337
13,4,1.1587571261883
14,4,1.5045188867497
15,4,0.76192949131001
1,5,1.88878029529472
2,5,1.04383885541326
3,5,1.3632768448588
4,5,0.864695998021302
5,5,0
6,5,1.34435412428237
7,5,1.38199265489172
8,5,1.86096929229692
9,5,1.5017173158771
10,5,1.15364430289812
11,5,1.22332846451292
12,5,2.0082666271904
13,5,1.61993968077566
14,5,1.86898377257007
15,5,1.38539875292912
1,6,1.21232705694032
2,6,0.974369730797886
3,6,0.603250266440381
4,6,1.03277721355598
5,6,1.34435412428237
6,6,0
7,6,1.19907037269934
8,6,0.952598432303153
9,6,0.850316296906504
10,6,1.26540141161678
11,6,0.743265817084505
12,6,1.28868716028778
13,6,0.597978017959059
14,6,1.23325381888692
15,6,0.765070276411995
1,7,0.752748346624308
2,7,0.618435334909589
3,7,1.25641895624853
4,7,1.00890232757921
5,7,1.38199265489172
6,7,1.19907037269934
7,7,0
8,7,0.96588120527686
9,7,0.957985671149955
10,7,0.945102982023104
11,7,0.811349838731802
12,7,1.51814803172244
13,7,0.94934105388891
14,7,1.07727701245473
15,7,0.736966617692217
1,8,0.467565751855964
2,8,1.17772491763114
3,8,1.14621665477406
4,8,1.37202645160935
5,8,1.86096929229692
6,8,0.952598432303153
7,8,0.96588120527686
8,8,0
9,8,0.688710795765401
10,8,1.45043970278952
11,8,0.907184524762585
12,8,1.17701145892032
13,8,0.363616226385247
14,8,0.712946253371099
15,8,0.691481571161149
1,9,0.81957358945324
2,9,1.08969362351037
3,9,1.09595373314253
4,9,1.14292910696313
5,9,1.5017173158771
6,9,0.850316296906504
7,9,0.957985671149955
8,9,0.688710795765401
9,9,0
10,9,1.28177244844526
11,9,0.659208669346543
12,9,1.36066442504776
13,9,0.610626021745469
14,9,0.489675527110192
15,9,0.606684334777506
1,10,1.46895048066648
2,10,0.674782559074453
3,10,1.25548100114484
4,10,0.752532631065704
5,10,1.15364430289812
6,10,1.26540141161678
7,10,0.945102982023104
8,10,1.45043970278952
9,10,1.28177244844526
10,10,0
11,10,1.20916376931276
12,10,1.41447639873422
13,10,1.30245792617812
14,10,1.59310924375612
15,10,0.921632270199906
1,11,0.91606452430556
2,11,0.834867843123533
3,11,0.871344518174893
4,11,1.05673139983772
5,11,1.22332846451292
6,11,0.743265817084505
7,11,0.811349838731802
8,11,0.907184524762585
9,11,0.659208669346543
10,11,1.20916376931276
11,11,0
12,11,1.50350181421321
13,11,0.698916449647981
14,11,0.899776977292741
15,11,0.80445949775072
1,12,1.42794328408329
2,12,1.40462575738343
3,12,1.30398919613014
4,12,1.50018669063337
5,12,2.0082666271904
6,12,1.28868716028778
7,12,1.51814803172244
8,12,1.17701145892032
9,12,1.36066442504776
10,12,1.41447639873422
11,12,1.50350181421321
12,12,0
13,12,1.1351697708347
14,12,1.52845526390142
15,12,1.16130701206746
1,13,0.687694232661171
2,13,0.992652604738231
3,13,0.841404181903677
4,13,1.1587571261883
5,13,1.61993968077566
6,13,0.597978017959059
7,13,0.94934105388891
8,13,0.363616226385247
9,13,0.610626021745469
10,13,1.30245792617812
11,13,0.698916449647981
12,13,1.1351697708347
13,13,0
14,13,0.829373776366953
15,13,0.557214924895115
1,14,0.682634242238856
2,14,1.38663094871542
3,14,1.42473628249896
4,14,1.5045188867497
5,14,1.86898377257007
6,14,1.23325381888692
7,14,1.07727701245473
8,14,0.712946253371099
9,14,0.489675527110192
10,14,1.59310924375612
11,14,0.899776977292741
12,14,1.52845526390142
13,14,0.829373776366953
14,14,0
15,14,0.92135027598273
1,15,0.85203149363702
2,15,0.696914021902722
3,15,0.928671941899829
4,15,0.76192949131001
5,15,1.38539875292912
6,15,0.765070276411995
7,15,0.736966617692217
8,15,0.691481571161149
9,15,0.606684334777506
10,15,0.921632270199906
11,15,0.80445949775072
12,15,1.16130701206746
13,15,0.557214924895115
14,15,0.92135027598273
15,15,0
