"","Geo_FIPS","density","PConeUnit","PCcommutingNotCar","PClessHighSchool","PCsomeCollegeOrMore","PCdoctorate","PCmarriedCouple","PCwithKids","PCunmarriedSSCouple","PCsexMale","medianAge","PCraceWhiteAlone","PCraceBlackAlone","PCraceAsianAlone","PCraceHispanic","PCforeignBorn","PCownerOccUnits","PCwithInterests","perCapitaIncome","PCunemployed","PCpoorStruggling","PCveryWealthyHHolds","PCmovedWithinCounty","medianYearBuilt","year","cluster"
"240",6001440332,3538.201,0.989737742303307,0.0271523178807947,0.102736437830053,0.231877100336054,0.0379260681709073,0.84393063583815,0.667052023121387,0.0046242774566474,0.498191681735986,33.3,0.178420735382761,0.0334538878842676,0.705244122965642,0.0620855937311634,0.548221820373719,0.976878612716763,0.591907514450867,32956,0.0110317975340688,0.0477053140096618,0.0971098265895954,0.555555555555556,1996,2000,12
"241",6001441100,717.9385,0.820080862533693,0.04997476022211,0.126617698495978,0.251486533753061,0.0290311297656523,0.611530542210021,0.393960192175703,0.00549073438572409,0.491720662347012,38.9,0.677225821934245,0.0227981761459083,0.17518598512119,0.15310775137989,0.175425965922726,0.812628689087165,0.514756348661633,37002,0.0552147239263804,0.111490607465235,0.0672614962251201,0.662181303116147,1972,2000,2
"242",6001441200,5185.176,0.771812080536913,0.0645734597156398,0.0992161254199328,0.288465845464726,0.0183650615901456,0.554645927138764,0.375358166189112,0.00777732296356938,0.501397081651661,36.1,0.611921763427507,0.0234399254889786,0.226637690158336,0.171375349270413,0.278329711269792,0.643061809250921,0.482603356528858,34187,0.0403361344537815,0.100900341508848,0.0573065902578797,0.628029969149405,1972,2000,2
"243",6001441301,2325.257,0.519788918205805,0.100472016183412,0.0698782424563261,0.259925886712546,0.061937533086289,0.555129434324065,0.334611697027804,0.00862895493767977,0.516354281514149,32.9,0.396177875780963,0.0507166482910695,0.470047776552738,0.0779125321572951,0.416023520764425,0.450623202301055,0.426653883029722,38300,0.0641258318209316,0.112174578866769,0.0699904122722915,0.395080707148347,1987,2000,10
"244",6001441302,6539.445,0.837620578778135,0.0486137485757691,0.122613065326633,0.327638190954774,0.0128140703517588,0.697232772653283,0.395008138903961,0.00488334237655996,0.498221273568125,37.1,0.54019921736037,0.0302383493418712,0.317502668089648,0.118818925649235,0.342582710779082,0.69994574064026,0.436245252306023,30709,0.0697753573859769,0.117677915719531,0.0499186109603907,0.593846153846154,1974,2000,2
"245",6001441401,9810.289,0.794280836534358,0.063264221158958,0.151230705047977,0.303087192323738,0.0141843971631206,0.630921619293712,0.425064599483204,0.00430663221360896,0.49950808151792,34.4,0.40196767392832,0.0460997891777934,0.403092059030218,0.118341531974701,0.428390723822909,0.667097329888028,0.402239448751077,27100,0.0474278544542033,0.154030102686735,0.0258397932816537,0.618987341772152,1976,2000,12
"246",6001441402,8663.419,0.842011834319527,0.0646373543780534,0.10616727682343,0.306674176288369,0.0216840326668544,0.71249252839211,0.463239689181112,0.00418410041841004,0.496941896024465,35.9,0.436544342507645,0.0328746177370031,0.411506116207951,0.0972859327217125,0.393539755351682,0.767483562462642,0.511057979677227,32631,0.0241049273307338,0.132884615384615,0.0567842199641363,0.606517509727626,1981,2000,12
"247",6001441501,5319.296,0.957887223411849,0.0435303514376997,0.102886977886978,0.317567567567568,0.0304054054054054,0.793991416309013,0.612303290414878,0.00143061516452074,0.501232694860611,34.6,0.223212592452115,0.0565143182249194,0.62089891902143,0.0713066565522473,0.474492698653518,0.861230329041488,0.464234620886981,28187,0.0404814004376368,0.117255796275181,0.0479256080114449,0.642757660167131,1985,2000,12
"248",6001441503,355.1284,0.653410587305768,0.0734557595993322,0.0440439083886706,0.186068572977368,0.0417400731806478,0.673442096817331,0.496656860123028,0.00374431666220915,0.500881016414727,32.4,0.218213855142354,0.026615969581749,0.688120189186683,0.0504497820643606,0.578688676620607,0.632789515913346,0.515645894624231,35664,0.0288065843621399,0.0602062621945554,0.0451992511366676,0.392436764337591,1987,2000,12
"249",6001441521,9210.58,0.863964464186563,0.0671019223793979,0.118252573437108,0.290735626412252,0.022093899071052,0.727119595732734,0.539023020774846,0.00505334081976418,0.503606557377049,35,0.297540983606557,0.0329508196721311,0.571475409836066,0.0611475409836066,0.508032786885246,0.824817518248175,0.528916339135317,27295,0.0298403886190146,0.148160315374507,0.0409882088714206,0.57206604194556,1984,2000,12
"250",6001441522,10719.28,0.981741573033708,0.0417177914110429,0.158735228361546,0.308527626956244,0.0121366975407218,0.716914366595895,0.515215852795471,0.0106157112526539,0.491593274619696,35,0.324059247397918,0.0438350680544436,0.500400320256205,0.136509207365893,0.446557245796637,0.820240622788393,0.528662420382166,27245,0.0443698732289336,0.149247743229689,0.0396319886765747,0.546397694524496,1976,2000,12
"251",6001441601,9110.697,0.95448275862069,0.0416666666666667,0.136304062909568,0.368610747051114,0.0111402359108781,0.666666666666667,0.423480083857442,0.00559049615653389,0.48728813559322,36.6,0.63693131132917,0.0243086529884032,0.18242640499554,0.200044603033006,0.206735057983943,0.819706498951782,0.467505241090147,25734,0.0446465481603969,0.096579476861167,0.00698812019566737,0.531668696711328,1966,2000,2
"252",6001441602,10649.14,0.701620162016202,0.09375,0.187925556059918,0.293917385383568,0,0.589147286821705,0.442772457820337,0.0027359781121751,0.510856977417487,32.2,0.513462651997684,0.0473364215402432,0.239143022582513,0.225535610885929,0.297191661841343,0.587779297765618,0.36844505243958,22940,0.0724018167245525,0.211007841998257,0.0159598723210214,0.545147995503934,1967,2000,2
"253",6001441700,7471.659,0.470686070686071,0.0539200495816548,0.144526859968532,0.293324342548887,0.018431108114183,0.494320572149769,0.381573411863694,0.00631047538914598,0.502233174187587,32.7,0.499614969967657,0.0478977360234098,0.272447250885569,0.192977052210072,0.349915293392885,0.545225073622213,0.348758939840135,25152,0.087294968028913,0.179693545890729,0.0100967606226336,0.542794210195091,1980,2000,2
"254",6001441800,8262.094,0.662969283276451,0.0522012578616352,0.136040834442965,0.353750554815801,0,0.574946004319654,0.400431965442765,0.00431965442764579,0.486075568267349,36,0.579858497666717,0.043353906367605,0.249435496010838,0.139394851723619,0.273370465151287,0.627645788336933,0.360691144708423,29465,0.0403560830860534,0.119490093687606,0.0535637149028078,0.570186335403727,1972,2000,2
