"Geo_FIPS","density","medianYearBuilt","PConeUnit","PCownerOccUnits","PCcommutingNotCar","PCmovedWithinCounty","PClessHighSchool","PCsomeCollegeOrMore","PCdoctorate","PCmarriedCouple","PCunmarriedSSCouple","PCwithKids","PCsexMale","medianAge","PCraceBlackAlone","PCraceAsianAlone","PCraceHispanic","PCraceWhiteAlone","PCforeignBorn","perCapitaIncome","PCunemployed","PCpoorStruggling","PCwithInterests","PCveryWealthyHHolds","cluster"
6081609200,0.0879640638933327,0.283333333333333,0.46783963080473,0.435920309247696,0.120291310899046,0.564563582870219,0.0846817691477886,0.311938151743977,0.0197770586120101,0.39964317573595,0.00654177817424918,0.234314600059471,0.461094695370761,0.316608996539792,0.0115379203602082,0.0703531729280991,0.105248346700436,0.834388630927255,0.171380329252849,0.300097716002594,0.017535314174379,0.132484076433121,0.487362473981564,0.0529289325007434,13
6081609300,0.0845519110600314,0.15,0.882672882672883,0.811605723370429,0.0164452877925364,0.637130801687764,0.05249343832021,0.292213473315836,0.020997375328084,0.629570747217806,0.00794912559618442,0.354531001589825,0.486409608091024,0.339100346020761,0.00505689001264223,0.0442477876106195,0.0654235145385588,0.903919089759798,0.107458912768647,0.293860330042648,0.00997506234413965,0.0679519595448799,0.664546899841017,0.0675675675675676,1
6081609400,0.0659886676934788,0.15,0.993805309734513,0.904847396768402,0.0315224681421865,0.657397107897664,0.04463852498787,0.265405143134401,0.0121300339640951,0.660682226211849,0.00179533213644524,0.385098743267504,0.479350033852404,0.328719723183391,0.002031144211239,0.0389302640487475,0.0545023696682464,0.908259986459039,0.0633039945836154,0.328243577684222,0.0110533159947984,0.0323239197005784,0.655296229802513,0.122980251346499,1
6081609500,0.061502692921054,0.3,0.958520179372197,0.879682179341657,0.0522701259061427,0.475090252707581,0.026031003217315,0.289558350394852,0.0503071073413279,0.677071509648127,0.00964812712826334,0.382519863791146,0.499895724713243,0.325259515570934,0.00604796663190824,0.099895724713243,0.0738269030239833,0.828571428571429,0.189989572471324,0.366361951032411,0.0218181818181818,0.0675873613726721,0.635073779795687,0.154937570942111,1
6081609601,0.0279615141675013,0.533333333333333,0.80688497061293,0.766233766233766,0.0208469055374593,0.545545545545546,0.03857421875,0.2451171875,0.0390625,0.595670995670996,0.00865800865800866,0.292640692640693,0.49584387423202,0.347750865051903,0.00867365377665342,0.11420310805927,0.0480664980122877,0.822190097578605,0.17455728225515,0.494817398927864,0.0286783042394015,0.0787856884712685,0.653679653679654,0.242424242424242,8
6081609602,0.0357800678062108,0.433333333333333,0.86053412462908,0.911278195488722,0.00609756097560976,0.57258064516129,0.0775,0.261666666666667,0.0383333333333333,0.630075187969925,0.00451127819548872,0.27218045112782,0.496602841260037,0.401384083044983,0.00741198270537369,0.0963557751698579,0.0580605311920939,0.838789376158122,0.20012353304509,0.337111076611173,0.0208816705336427,0.0451732673267327,0.622556390977444,0.100751879699248,1
6081609603,0.0214597908399992,0.516666666666667,0.816808309726157,0.898280802292264,0.0179882525697504,0.536170212765957,0.0370559672885254,0.281880909787887,0.035778175313059,0.638968481375358,0.00811843361986628,0.297994269340974,0.479396401625073,0.394463667820069,0.0077384407041981,0.0779647900947959,0.0462371832075837,0.865351131746953,0.147804217450184,0.504872101624643,0.0319634703196347,0.0439581719597211,0.734957020057307,0.191977077363897,8
6081609700,0.0200079366912182,0.466666666666667,0.995541401273885,0.9148244473342,0.0205567451820128,0.581043956043956,0.0396361273554256,0.328460038986355,0.0471085120207927,0.702860858257477,0.0110533159947984,0.34850455136541,0.502407318247472,0.370242214532872,0.00577756379393356,0.0539239287433799,0.0471834376504574,0.895281656234954,0.125902744342802,0.563282527100209,0.00464330941325454,0.0465230166503428,0.711313394018205,0.269180754226268,1
6081609800,0.0599144335127548,0.25,0.939200926462073,0.831967213114754,0.0449050086355786,0.625598904859685,0.0773286467486819,0.34622144112478,0.0251903925014646,0.609484777517564,0.0134660421545667,0.305620608899297,0.494720633523977,0.365051903114187,0.00615926088869336,0.050373955125385,0.110426748790145,0.862516498020238,0.157721073471183,0.322344088181843,0.0249480249480249,0.0805247681520018,0.626463700234192,0.11768149882904,1
6081609900,0.0604409990540033,0.1,0.988444444444444,0.887441860465116,0.0396239086635326,0.696712619300106,0.0910900945744151,0.299651567944251,0.0199104031856645,0.661395348837209,0.00558139534883721,0.335813953488372,0.484124152693543,0.358131487889273,0.00214056368176953,0.0281840884766322,0.0891901534070639,0.902961113093115,0.12272565108812,0.359969315348718,0.0168175937904269,0.0365280289330922,0.636279069767442,0.146046511627907,1
6081610000,0.0850968820171892,0.15,0.515151515151515,0.440175097276265,0.0786733513305052,0.548300053966541,0.112704330369946,0.324347576713507,0.0197877831947233,0.404182879377432,0.0111867704280156,0.229571984435798,0.48227735932654,0.313148788927336,0.0124058484714222,0.0622507753655295,0.145768719539211,0.829419583517944,0.19162605228179,0.288727956822312,0.0224926253687316,0.119005328596803,0.48784046692607,0.0812256809338521,13
6081610100,0.145325009820568,0.266666666666667,0.5625,0.42371020856202,0.153127246585191,0.643821391484943,0.260186263096624,0.349243306169965,0.00407450523864959,0.472008781558727,0.0186608122941822,0.401756311745335,0.51736246586032,0.200692041522491,0.0284822473663675,0.0698400312134218,0.383925087787749,0.680842762387827,0.336714787358564,0.164601236518388,0.0301047120418848,0.200389105058366,0.461031833150384,0.013172338090011,6
6081610201,0.108557753738153,0.4,0.27877094972067,0.204197390811117,0.17689668318719,0.682415976619581,0.386328959414098,0.206591394568203,0.0140372291730241,0.480998298355077,0.00340328984685196,0.455473624503687,0.534361381159906,0.115916955017301,0.03117666778411,0.0903452899765337,0.682701977874623,0.473516594032853,0.561012403620516,0.0855608624578771,0.0582693649685973,0.408218255304816,0.275099262620533,0.0164492342597845,6
6081610202,0.0343051764150003,0.616666666666667,0.098471986417657,0.063716814159292,0.30155979202773,0.58406374501992,0.22099805573558,0.259235255994815,0,0.265486725663717,0.00707964601769911,0.256637168141593,0.713579136690647,0.226643598615917,0.143884892086331,0.0867805755395683,0.408723021582734,0.516187050359712,0.282374100719424,0.0967753719144117,0.048,0.378446115288221,0.276106194690265,0.0141592920353982,4
