"","cluster","Geo_FIPS"
"1",1,6001400100
"2",1,6001400200
"3",0,6001400300
"4",0,6001400200
"5",0,6001400400
"6",2,6001400500
"7",2,6001400600
"8",2,6001400700
"9",2,6001400800
"10",2,6001400900
"11",2,6001401000
"12",2,6001401100
"13",2,6001401200
"14",3,6001401400
"15",3,6001401300
"16",0,6001401400
"17",0,6001401500
"18",0,6001401600
"19",0,6001401700
"20",0,6001401800
"21",0,6001401900
"22",0,6001402200
"23",0,6001402700
"24",0,6001402400
"25",0,6001402500
"26",0,6001402800
"27",0,6001402700
"28",3,6001402700
"29",3,6001402800
"30",3,6001402900
"31",2,6001403000
"32",3,6001403100
"33",2,6001403300
"34",6,6001403400
"35",6,6001403600
"36",0,6001405000
"37",0,6001403800
"38",6,6001403900
"39",6,6001404000
"40",1,6001404200
"41",1,6001404300
"42",1,6013353001
"43",1,6001404400
"44",1,6001404501
"45",1,6001404501
"46",1,6001404502
"47",1,6001404600
"48",1,6001404700
"49",0,6001404800
"50",0,6001404900
"51",0,6001405000
"52",1,6001405100
"53",6,6001405200
"54",6,6001405000
"55",2,6001405500
"56",2,6001405600
"57",2,6001405800
"58",2,6001405700
"59",2,6001405800
"60",2,6001406000
"61",0,6001406100
"62",0,6001406000
"63",0,6001406201
"64",0,6001406202
"65",2,6001406300
"66",0,6001406400
"67",2,6001406500
"68",0,6001406700
"69",0,6001406800
"70",0,6001406900
"71",2,6001407000
"72",0,6001407200
"73",0,6001407300
"74",0,6001407400
"75",0,6001407500
"76",0,6001407600
"77",2,6001407700
"78",2,6001407800
"79",0,6001407900
"80",1,6001408000
"81",0,6001430100
"82",0,6001407900
"83",0,6001408100
"84",2,6001408200
"85",2,6001408300
"86",0,6001408400
"87",0,6001408500
"88",0,6001408900
"89",0,6001408600
"90",0,6001408700
"91",0,6001408900
"92",0,6001408800
"93",0,6001408900
"94",0,6001408500
"95",0,6001432400
"96",0,6001409000
"97",0,6001409100
"98",0,6001409200
"99",0,6001432500
"100",0,6001409300
"101",0,6001409400
"102",0,6001409500
"103",0,6001409600
"104",0,6001409700
"105",2,6001409800
"106",0,6001409900
"107",0,6001410000
"108",0,6001432100
