"","Geo_FIPS","density","PConeUnit","PCcommutingNotCar","PClessHighSchool","PCsomeCollegeOrMore","PCdoctorate","PCmarriedCouple","PCwithKids","PCunmarriedSSCouple","PCsexMale","medianAge","PCraceWhiteAlone","PCraceBlackAlone","PCraceAsianAlone","PCraceHispanic","PCforeignBorn","PCownerOccUnits","PCwithInterests","perCapitaIncome","PCunemployed","PCpoorStruggling","PCveryWealthyHHolds","year.x","year.y","cluster"
"757",6075022903,27364.65,0.55688622754491,0.650137741046832,0.228490832157969,0.625293841090738,0.0300893276915844,0.397033158813264,0.289703315881326,0.0453752181500873,0.541844838118509,32.3,0.757483200977398,0.017104459376909,0.141111789859499,0.487782529016494,0.472205253512523,0.341186736474695,0.254799301919721,34632.0159275453,0.0704647676161919,0.307880268784362,0.0837696335078534,"2010",2010,1
"758",6075023001,20935.79,0.919944789510007,0.350446428571429,0.283918880319909,0.376463867466438,0.000856898029134533,0.445440956651719,0.362481315396114,0,0.505106778087279,41,0.25719591457753,0.215041782729805,0.478737233054782,0.224512534818942,0.428226555246054,0.591928251121076,0.213751868460389,17356.0727670206,0.121527777777778,0.491906976744186,0.0179372197309417,"2010",2010,1
"759",6075023003,23607.66,0.885900570497148,0.220713073005093,0.245098039215686,0.51395173453997,0.00339366515837104,0.571558796718323,0.474931631722881,0,0.497457853893497,40.8,0.172330746588172,0.32031040941932,0.444474177147444,0.142895370618143,0.451431629649451,0.749316317228806,0.260711030082042,32225.9909431605,0.103077674645823,0.26784755770263,0.0847766636280766,"2010",2010,1
"760",6075023102,18008.83,0.442451420029895,0.322908522283034,0.221303948576676,0.50137741046832,0.00872359963269054,0.211279461279461,0.422558922558923,0.0193602693602694,0.493681792073521,31.5,0.214244686961516,0.649339460080414,0.113153360137852,0.190982194141298,0.178058587018955,0.314814814814815,0.109427609427609,21944.8282323548,0.164142943670503,0.570361860999426,0.0513468013468013,"2010",2010,1
"761",6075023103,8166.145,0.182316655243317,0.288861689106487,0.249381188118812,0.452970297029703,0,0.159038013964313,0.605120248254461,0,0.473099267491791,20.3,0.146249052791109,0.649406415761556,0.0457186158120738,0.0914372316241475,0.084364738570346,0.152055857253685,0.04344453064391,10136.9294191131,0.336405529953917,0.743451463790447,0.00387897595034911,"2010",2010,1
"762",6075023200,13465.03,0.818439716312057,0.380106571936057,0.305059523809524,0.480282738095238,0.0159970238095238,0.345565749235474,0.430428134556575,0,0.473222322232223,32.7,0.328307830783078,0.441494149414941,0.116111611161116,0.386588658865887,0.326957695769577,0.516819571865443,0.152905198776758,19262.0890068707,0.134852801519468,0.38955732122588,0.0168195718654434,"2010",2010,1
"763",6075023300,11024.6,0.772727272727273,0.400150715900528,0.349300322927879,0.494079655543595,0.00753498385360603,0.56260162601626,0.478048780487805,0,0.537269372693727,39.6,0.0881918819188192,0.171586715867159,0.598523985239852,0.176014760147601,0.577121771217712,0.650406504065041,0.219512195121951,24451.2823235478,0.0919165580182529,0.269741697416974,0.0699186991869919,"2010",2010,1
"764",6075023400,10726.16,0.851648351648352,0.36031746031746,0.419281491587085,0.324238290131878,0.00363801728058208,0.481518481518482,0.500499500499501,0.018981018981019,0.421662895927602,33.8,0.430995475113122,0.188348416289593,0.157805429864253,0.548642533936652,0.405260180995475,0.477522477522478,0.105894105894106,18416.9887570269,0.102891728312038,0.479041916167665,0.038961038961039,"2010",2010,1
"765",6075025100,15011.7,0.754398826979472,0.257348863006101,0.0273700912336374,0.859976199920666,0.0341134470448235,0.355504587155963,0.255351681957187,0.100917431192661,0.505579665220087,37.6,0.756354618722877,0.0309981401115933,0.125852448853069,0.0846249225046497,0.205517668939864,0.642201834862385,0.367737003058104,50735.9300437227,0.0624375624375624,0.155920644761314,0.135321100917431,"2010",2010,1
"766",6075025200,21250.07,0.630926007975188,0.446731234866828,0.127746550843127,0.76060296371998,0.0357690342360756,0.330802088277171,0.330327479829141,0.0821072615092549,0.500092816038611,37,0.74085762019677,0.0601447930202339,0.118990161499907,0.265825134583256,0.270837200668275,0.637399145704794,0.383009017560513,56100.3400999375,0.0324693819424665,0.172201492537313,0.210726150925486,"2010",2010,1
"767",6075025300,33450.29,0.409090909090909,0.463374212794166,0.122700998423542,0.671308460325801,0.0470310036784025,0.260229132569558,0.236224768139662,0.0681942171303873,0.520984665052462,36.5,0.711057304277643,0.0512510088781275,0.0823244552058111,0.373083131557708,0.231234866828087,0.476813966175668,0.359519912711402,46583.0796377264,0.0877604931024362,0.191405439069961,0.172394980905619,"2010",2010,1
"768",6075025401,27504.65,0.563543936092956,0.475537265660722,0.186604584527221,0.654011461318052,0.0361747851002865,0.327067669172932,0.284962406015038,0.0406015037593985,0.533920248575867,37.7,0.656913516312791,0.0248575867426204,0.154583117555671,0.404194717762817,0.390471258415329,0.421052631578947,0.300751879699248,36916.2439100562,0.100436681222707,0.387364060072501,0.100751879699248,"2010",2010,1
"769",6075025402,25686.67,0.791666666666667,0.333893557422969,0.0756108805901337,0.771784232365145,0.0262793914246196,0.365945437441204,0.288805268109125,0.0507996237064911,0.514947934161908,40.5,0.58918374202217,0.0292240510581122,0.295599596909641,0.159556600604636,0.281827342962714,0.773283160865475,0.301975540921919,43186.6527170518,0.0744735490498202,0.167954316425932,0.132643461900282,"2010",2010,1
"770",6075025403,22898.75,0.645820038289726,0.389491242702252,0.207541654486992,0.589593686056709,0.00292312189418299,0.408901251738526,0.312934631432545,0.0472878998609179,0.469178828142017,36.3,0.524068830320192,0.0866913526464822,0.216728381616206,0.42888259638423,0.383794380309301,0.420723226703755,0.291376912378303,34508.0821361649,0.0909090909090909,0.297756480069702,0.115438108484006,"2010",2010,1
"771",6075025500,18920.86,0.789363484087102,0.43639017270737,0.19965367965368,0.598961038961039,0.00761904761904762,0.485961123110151,0.330885529157667,0.0423326133909287,0.517925247902365,39.2,0.481566234426646,0.00737350622934147,0.386092041698449,0.321764556318332,0.4534706331045,0.635421166306695,0.262634989200864,34969.6286695815,0.0813239807102148,0.252224764810577,0.150755939524838,"2010",2010,1
"772",6075025600,26144.62,0.96025641025641,0.302010968921389,0.301518987341772,0.456455696202532,0.00430379746835443,0.674372523117569,0.416776750330251,0.00462351387054161,0.54233409610984,39.5,0.274951593029396,0.00932934342545326,0.602886815701461,0.175849322302412,0.537405386375638,0.78335535006605,0.315719947159841,24601.9259837602,0.0974174566851912,0.273015314205246,0.0488771466314399,"2010",2010,1
