"Geo_FIPS","density","medianYearBuilt","PConeUnit","PCownerOccUnits","PCcommutingNotCar","PCmovedWithinCounty","PClessHighSchool","PCsomeCollegeOrMore","PCdoctorate","PCmarriedCouple","PCunmarriedSSCouple","PCwithKids","PCsexMale","medianAge","PCraceBlackAlone","PCraceAsianAlone","PCraceHispanic","PCraceWhiteAlone","PCforeignBorn","perCapitaIncome","PCunemployed","PCpoorStruggling","PCwithInterests","PCveryWealthyHHolds","cluster","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
6001433600,0.0566598624345503,0.289855072463768,0.612057063966866,0.537962962962963,0.147609942638623,0.0482551344130907,0.250783699059561,0.461486789072996,0,0.427314814814815,0,0.346296296296296,0.554226872612523,0.373493975903614,0.0489951835243315,0.446935724962631,0.197807673143996,0.351270553064275,0.433814980900183,0.127625611443761,0.117000646412411,0.308749580958766,0.137962962962963,0.0194444444444444,6,2.52991798558737,0.873177718123144,1.39512225746872,-0.947650528374139,0.607417302691521,0.442476925075556,-1.20850501688395,1.8842263413777,-0.0416245668444456,-0.437650191355438,0.275865968138578,0.128873851529618,0.0749033783721431,0.513067874501847,0.0806629721251725,-0.029996503399731,-0.383813963138284,0.158024216475632,-0.56374958586281,0.410730990201126,0.033636473340026,0.0993705940828668,-0.231919726505945,0.161107557746415
6001433700,0.0376710369510903,0.231884057971014,0.620169651272385,0.327166504381694,0.0855263157894737,0.107099514563107,0.149622166246851,0.537027707808564,0.0171284634760705,0.42064264849075,0.00584225900681597,0.390457643622201,0.482025164769323,0.222030981067126,0.127022168963451,0.126722588376273,0.507489514679449,0.572198921509886,0.324445775913721,0.105565679678829,0.113597246127367,0.342642642642643,0.109055501460565,0.0632911392405063,6,2.6169018402291,0.475129310280467,-0.849714028248911,-0.083023343997929,0.0663314925742313,-0.437202727119136,0.811818389232714,-0.56016183919646,-0.176930107489811,0.522320674737965,-0.426240180238614,0.142011370063025,0.63279952434697,0.324414387733197,-0.00332113474995277,0.593410520323487,-0.207418242300893,-0.350556754574522,0.296170482895748,0.0787994109393545,0.184529579283494,0.384498786086433,-0.143058167179638,-0.38053111900257
6001433800,0.0746921887323893,0.289855072463768,0.618576322801675,0.403691813804173,0.1984,0.0654761904761905,0.154391492713667,0.56124458448208,0.00630169358014966,0.491974317817014,0,0.479935794542536,0.456602835115643,0.227194492254733,0.141009699079831,0.316712260631684,0.361104202934593,0.462447152449639,0.339840835613032,0.0937273063590151,0.0937759336099585,0.359068472345273,0.112359550561798,0.0409309791332263,6,2.62557641992105,0.812822039499098,0.614478279126259,-0.474868588608677,-0.733342834817833,0.441764560121699,1.22334342558778,-0.0268821107978796,-1.09108293571522,-0.194409370704848,0.0297544275399987,0.126169862286104,-0.0707248731682878,-0.0699959703921764,-0.0823918295503177,0.449170184407282,0.0717564544948669,-0.350085896810964,0.101553576772166,0.373713931641717,-0.0832691495675884,0.523210451982962,-0.195398897208574,-0.0111789298398873
6001433900,0.125153728749709,0.463768115942029,0.28258221680877,0.238597972972973,0.138425746413338,0.160885167464115,0.294026377036462,0.382208430307732,0,0.206503378378378,0,0.474662162162162,0.453870779976717,0.134251290877797,0.295401629802095,0.0714493597206054,0.479336437718277,0.482683352735739,0.339348079161816,0.0519847087677952,0.176597715344242,0.638613861386139,0.0506756756756757,0,6,6.4838175420252,0.196293206364179,-1.36030914062604,0.63959235446325,-1.32149733499063,0.429113046637848,1.15064682136909,-0.179873836955935,-0.341128569618874,0.0484819673270682,0.137167681044059,-0.832276878669819,0.386375301471466,-0.325959066734579,0.212146127457335,-0.261259329442574,0.432010376736952,0.124707203375035,-0.794368187448368,0.305804339272993,0.27670569664382,0.000883222608671179,-0.236310913719485,-0.0729667874160958
6001434000,0.0655433207683846,0.289855072463768,0.548318206086492,0.291409320606401,0.163654618473896,0.120265151515152,0.30856781536516,0.381283591527031,0,0.359910162829871,0.0117911285794497,0.466591802358226,0.451382358472823,0.218588640275387,0.18487869099116,0.137295467368817,0.506864773368441,0.468309196915554,0.318412638706037,0.0735376731567625,0.162591687041565,0.409798708697303,0.0437956204379562,0.00336889387984278,6,5.05367545133569,0.758441515477606,-1.01572568522367,-0.89548640325328,-0.79672487537485,-0.218062482055438,0.465427353773759,-1.02434889849226,0.0561276071216966,-0.124528679415774,0.226548471716299,-0.488667649296867,-0.067962404203631,0.200394299497996,0.160951111499192,0.530359892428531,-0.613170771363435,-0.0143672529680816,-0.221656872486652,0.175807073303603,0.277171614441387,0.323562961716627,-0.289168396346559,0.060258253284199
6001435102,0.0180254926200854,0.652173913043478,0.7526545908807,0.754010695187166,0.170571311138512,0.0608424336973479,0.0568394753279201,0.752029981261711,0.023735165521549,0.609625668449198,0.0100267379679144,0.296791443850267,0.43776493256262,0.225473321858864,0.105009633911368,0.212909441233141,0.175337186897881,0.483429672447014,0.278227360308285,0.19840921858515,0.0836417468541821,0.219331742243437,0.339572192513369,0.15307486631016,14,-0.833193064971628,0.724011048208641,0.18199024392584,0.111773169772195,-1.50544755423379,-0.571243634190871,0.0884526615663389,-1.23834036640182,-0.76896948584807,0.216150511706698,0.237705848698635,-0.00572407482404949,-0.466715559744215,-0.210739407677396,-1.1006313181517,-0.112921682106395,0.446190113897113,0.223672245091527,0.622363638909681,0.238936232900092,0.146056795184186,-0.201194836310247,0.0109310302345995,-0.410374988079127
6001435103,0.00184587152302367,0.811594202898551,0.960651289009498,0.907918968692449,0.0699342498505678,0.0457302846476902,0.066173269481933,0.812146277753592,0.0272094035698737,0.734806629834254,0.0170349907918969,0.429097605893186,0.497617949900108,0.380378657487091,0.0817581066543722,0.473182726294759,0.0935915168280314,0.357307514983864,0.34562778546181,0.364735623364345,0.0450831220061989,0.0490362374710871,0.369705340699816,0.402854511970534,14,-3.24055968525617,1.76386133249665,1.96101825162509,0.46754319411345,-0.484030161149792,-1.70101368861885,-1.22113355125403,-0.908443234279839,-0.69519364597732,-0.380299168847075,-0.502130538557911,-0.79853126403517,-0.346193953395664,0.359175061655178,-0.376110099461999,-0.0563141448502721,-0.293043306042913,0.0460912042955014,0.052835221504864,0.0668871609722852,0.228487945767025,0.403922378564065,0.0442012162072936,-0.192109339857288
6001435104,0.0110993441666326,0.565217391304348,0.253637245392823,0.218890554722639,0.114058355437666,0.12231840421528,0.153032036613272,0.58895881006865,0.0348970251716247,0.351324337831084,0.0134932533733133,0.386806596701649,0.464804469273743,0.23407917383821,0.116201117318436,0.272998137802607,0.332029795158287,0.367783985102421,0.363687150837989,0.11379362317252,0.100235452404978,0.346082089552239,0.119940029985007,0.0219890054972514,6,2.67536864009161,-0.267299109821352,0.1126313381581,1.28731637618168,-1.07636066137001,-0.40236272538098,-0.371015220628039,-1.48851563356881,-0.316714706326285,0.980789365960843,-0.628804336218672,0.436646631078893,-0.00385352232683223,0.565910055612508,0.264867469013479,0.580442575535215,-0.483353873142614,0.0465874376229688,-0.198461815032832,-0.0864737530995541,-0.406257984018733,0.143897309280155,-0.182792545031781,-0.0484687795453772
6001435200,0.0297194526407216,0.507246376811594,0.962251201098147,0.768353528153956,0.0498547918683446,0.0571049136786189,0.083308179897374,0.69604587986719,0.00573498339873227,0.528153955808981,0.00498930862437634,0.306486101211689,0.498786675490845,0.349397590361446,0.270681667769689,0.125965144495919,0.252812706816678,0.468784469446283,0.213986322523715,0.164846608114218,0.153135048231511,0.177083333333333,0.223093371347113,0.0399144689950107,13,0.531836178517333,1.49739596873457,-0.896738027626434,-0.629807324927166,-1.502297226102,-1.44196871007462,-0.665731277190968,0.877807676732389,-0.277558210767036,-0.112513483161848,0.474686021683328,-0.261577115173986,0.878181291639808,-0.533067552089468,-0.288707284897831,0.449218546107788,0.119079535809782,0.194361085732473,0.182159642810158,-0.0679876271962047,0.289774559193495,-0.0875632909629902,0.0255595512382241,0.0462301612947235
6001435300,0.0482663173372619,0.405797101449275,0.554449648711944,0.383606557377049,0.0894020130254588,0.11861969805895,0.15878616796048,0.647847565278758,0.0225829216654905,0.314754098360656,0.0183606557377049,0.333770491803279,0.368936678614098,0.339070567986231,0.232019115890084,0.114934289127838,0.329510155316607,0.478853046594982,0.250179211469534,0.127988709699519,0.21131221719457,0.381109979633401,0.131803278688525,0.0183606557377049,3,2.59631365116918,0.0545263705808924,-1.46902201325765,-0.857100808219688,-3.54162335538132,0.00721246871890713,0.624198986795602,-1.98372554094312,0.849742225543411,1.28320016575349,0.236982544965732,-0.416018171161071,0.518485717181389,-0.319125088388394,0.187144593499894,0.401929910671093,-0.0775216785040246,-0.265409227469529,-0.0558872132254876,-0.177624201143828,0.213409561472421,0.296421749986503,0.151898627467967,0.255615769778375
