"","Geo_FIPS","density","medianYearBuilt","PConeUnit","PCcommutingNotCar","PClessHighSchool","PCsomeCollegeOrMore","PCdoctorate","PCmarriedCouple","PCwithKids","PCunmarriedSSCouple","PCsexMale","medianAge","PCraceWhiteAlone","PCraceBlackAlone","PCraceAsianAlone","PCraceHispanic","PCforeignBorn","medianOccupiedHouseValue","PCownerOccUnits","PCwithInterests","medianIncome","PCunemployed","PCpoorStruggling","PCveryWealthyHHolds"
"1412",6095251400,6538.608,1953,0.781945050152638,0.0555555555555556,0.127365728900256,0.592583120204604,0.010997442455243,0.402245088868101,0.337698783910196,0.00841908325537886,0.44311797752809,37.1,0.536692415730337,0.115870786516854,0.0970856741573034,0.254915730337079,0.17749297752809,304400,0.698316183348924,0.211412535079514,55294,0.107267780800622,0.34763418079096,0.0159027128157156
"1413",6095251500,6415.099,1939,0.625470514429109,0.131710808876163,0.306465899025686,0.422054915854739,0,0.28788977519942,0.290065264684554,0.00870195794053662,0.528739002932551,36.3,0.441642228739003,0.194428152492669,0.0768328445747801,0.435777126099707,0.351026392961877,252820,0.349528643944888,0.100072516316171,37326,0.197263397947548,0.539007092198582,0.0224800580130529
"1414",6095251600,9347.228,1939,0.473441108545035,0.134328358208955,0.247322297955209,0.523855890944499,0.00486854917234664,0.368466898954704,0.371951219512195,0,0.5498712998713,32.4,0.482303732303732,0.206241956241956,0.105534105534106,0.464929214929215,0.36036036036036,294353,0.195993031358885,0.113240418118467,44839,0.164327485380117,0.516087516087516,0.0130662020905923
"1415",6095251701,4722.678,1950,0.479064039408867,0.167741935483871,0.114351851851852,0.657407407407407,0,0.381184103811841,0.249797242497972,0.0145985401459854,0.534996534996535,42.4,0.47955647955648,0.158350658350658,0.22972972972973,0.202702702702703,0.267844767844768,282857,0.419302514193025,0.166261151662612,51960,0.213075060532688,0.284154929577465,0.0519059205190592
"1416",6095251702,10736.25,1984,0.561316051844467,0.145851528384279,0.127284595300261,0.723890339425587,0.00652741514360313,0.375143843498274,0.373993095512083,0.0103567318757192,0.477605692758476,35.1,0.208455420678108,0.35663457513604,0.320636249476768,0.152365006278778,0.290079531184596,245156,0.601841196777906,0.140391254315305,68444,0.0842433697347894,0.369192130598577,0.0046029919447641
"1417",6095251802,3033.847,1993,0.102973168963017,0.217347956131605,0.310497237569061,0.483425414364641,0,0.316445182724252,0.248338870431894,0.00913621262458472,0.436128526645768,41.8,0.417711598746081,0.262147335423198,0.207680250783699,0.219435736677116,0.324059561128527,42879,0.37624584717608,0.0863787375415282,32535,0.187702265372168,0.575364029909484,0.010797342192691
"1418",6095251803,4509.297,1970,0.945674044265594,0,0.239370995923122,0.42195690157251,0,0.572916666666667,0.513888888888889,0.00972222222222222,0.405469678953627,34.4,0.340750806862579,0.130626804824189,0.234924409716324,0.437744182096144,0.373365041617122,322007,0.70625,0.120138888888889,58022,0.0785649409627611,0.356029106029106,0.0173611111111111
"1419",6095251804,5584.397,1977,1,0.0596807772380291,0.117025771018166,0.572877059569075,0,0.533539731682147,0.418988648090815,0,0.478979820627803,37.3,0.20487668161435,0.107343049327354,0.488508968609865,0.168161434977578,0.417881165919283,257067,0.662538699690402,0.125902992776058,75182,0.151949541284404,0.293814432989691,0.0154798761609907
"1420",6095251901,4179.253,1976,0.51564027370479,0.070082165297245,0.149524874231414,0.549468977082169,0,0.385738349241999,0.323413812464907,0,0.500886350206815,41.8,0.300374236753989,0.324798109119559,0.227102619657278,0.188891077407918,0.271617096710656,285032,0.478944413250983,0.117911285794497,62585,0.115592515592516,0.350844664194479,0.0252667040988209
"1421",6095251902,7795.792,1976,0.803490990990991,0.0468810538550949,0.210788164440953,0.531290913851794,0.00209478921183556,0.531795511221945,0.445760598503741,0,0.418547994152997,34.3,0.301120675653727,0.214227708299496,0.259054734448595,0.310378431054085,0.390612311190515,251785,0.703865336658354,0.120947630922693,66785,0.193457943925234,0.380819213686462,0.0124688279301746
"1422",6095251903,5132.416,1981,0.953098827470687,0.0168734491315136,0.132093316519546,0.664249684741488,0.00472887767969735,0.580405405405405,0.475,0,0.487043580683157,35,0.159992147624656,0.43168433451119,0.225559481743227,0.211032587357676,0.277777777777778,291142,0.810810810810811,0.166891891891892,73233,0.142974527526705,0.271048451151708,0.0324324324324324
"1423",6095252000,3773.88,1971,0.63016157989228,0.10415714938328,0.092608570606845,0.718723037100949,0.0273224043715847,0.504924831518922,0.280974598237429,0,0.490104514120525,48.1,0.873915943962642,0.01578830331332,0.018679119412942,0.125194574160551,0.111185234600845,471048,0.530844997407983,0.337998963193364,71579,0.0916061339790153,0.227444865226108,0.109901503369622
"1424",6095252102,195.7797,1966,0.647302904564315,0.0519713261648745,0.0694389956845822,0.710867006669282,0.0192232247940369,0.424639580602883,0.330930537352556,0.0203145478374836,0.512292738707833,42.2,0.890222984562607,0.00714694110920526,0.0408805031446541,0.0997712978845054,0.0454545454545455,416258,0.585845347313237,0.258191349934469,75449,0.0822687787429739,0.187027341477603,0.0150720838794233
"1425",6095252103,6332.049,1982,0.562411010915994,0.0586120100683208,0.110707296617277,0.718199608610568,0,0.417956656346749,0.374097007223942,0.0294117647058824,0.435677842565598,34.6,0.212827988338192,0.262755102040816,0.323979591836735,0.172922740524781,0.27350583090379,403933,0.472136222910217,0.167698658410733,64760,0.111006289308176,0.24266862170088,0.065015479876161
"1426",6095252104,1499.554,1990,0.932900432900433,0.0502654867256637,0.0517755489292491,0.835456763350501,0.00569259962049336,0.768398268398268,0.466450216450216,0.00432900432900433,0.528119507908612,40.1,0.58804920913884,0.079261862917399,0.179261862917399,0.133743409490334,0.167486818980668,548416,0.933982683982684,0.347402597402597,149876,0.0764686576960945,0.113532513181019,0.28517316017316
"1427",6095252105,3144.928,1983,0.787154592979836,0.0281030444964871,0.0384267631103074,0.816455696202532,0.0216998191681736,0.527196652719665,0.354811715481172,0.00585774058577406,0.44654477843198,44,0.695072823055469,0.0170436938332817,0.118686086148125,0.1050511310815,0.157421753951038,488966,0.77907949790795,0.385774058577406,106209,0.0278840896664844,0.0263402541059808,0.0903765690376569
