"","Geo_FIPS","cluster"
"1",6001400100,1
"2",6001400200,1
"3",6001400300,1
"4",6001400400,1
"5",6001400500,1
"6",6001400600,2
"7",6001400700,2
"8",6001400800,2
"9",6001400900,2
"10",6001401000,2
"11",6001401100,2
"12",6001401200,1
"13",6001401300,3
"14",6001401400,2
"15",6001401500,2
"16",6001401600,2
"17",6001401700,4
"18",6001401800,2
"19",6001402200,2
"20",6001402400,2
"21",6001402500,2
"22",6001402600,5
"23",6001402700,2
"24",6001402800,3
"25",6001402900,3
"26",6001403000,3
"27",6001403100,6
"28",6001403300,6
"29",6001403400,6
"30",6001403501,6
"31",6001403502,6
"32",6001403600,6
"33",6001403701,6
"34",6001403702,6
"35",6001403800,1
"36",6001403900,6
"37",6001404000,6
"38",6001404101,1
"39",6001404102,6
"40",6001404200,1
"41",6001404300,1
"42",6001404400,1
"43",6001404501,1
"44",6001404502,1
"45",6001404600,1
"46",6001404700,1
"47",6001404800,7
"48",6001404900,7
"49",6001405000,1
"50",6001405100,1
"51",6001405200,1
"52",6001405301,6
"53",6001405302,3
"54",6001405401,5
"55",6001405402,5
"56",6001405500,5
"57",6001405600,2
"58",6001405700,5
"59",6001405800,5
"60",6001405901,4
"61",6001405902,4
"62",6001406000,5
"63",6001406100,5
"64",6001406201,5
"65",6001406202,5
"66",6001406300,5
"67",6001406400,5
"68",6001406500,5
"69",6001406601,5
"70",6001406602,4
"71",6001406700,7
"72",6001406800,7
"73",6001406900,7
"74",6001407000,5
"75",6001407101,5
"76",6001407102,5
"77",6001407200,5
"78",6001407300,5
"79",6001407400,5
"80",6001407500,5
"81",6001407600,2
"82",6001407700,2
"83",6001407800,2
"84",6001407900,7
"85",6001408000,1
"86",6001408100,7
"87",6001408200,2
"88",6001408300,2
"89",6001408400,5
"90",6001408500,5
"91",6001408600,5
"92",6001408700,5
"93",6001408800,5
"94",6001408900,5
"95",6001409000,5
"96",6001409100,5
"97",6001409200,5
"98",6001409300,5
"99",6001409400,5
"100",6001409500,5
"101",6001409600,5
"102",6001409700,5
"103",6001409800,2
"104",6001409900,7
"105",6001410000,7
"106",6001410100,2
"107",6001410200,5
"108",6001410300,5
"109",6001410400,5
"110",6001410500,2
"111",6001420100,1
"112",6001420200,1
"113",6001420300,1
"114",6001420400,6
"115",6001420500,1
"116",6001420600,1
"117",6001421100,1
"118",6001421200,1
"119",6001421300,1
"120",6001421400,1
"121",6001421500,1
"122",6001421600,1
"123",6001421700,1
"124",6001421800,1
"125",6001421900,1
"126",6001422000,2
"127",6001422100,1
"128",6001422200,1
"129",6001422300,1
"130",6001422400,6
"131",6001422500,6
"132",6001422600,1
"133",6001422700,6
"134",6001422800,6
"135",6001422900,6
"136",6001423000,1
"137",6001423100,1
"138",6001423200,5
"139",6001423300,2
"140",6001423400,1
"141",6001423500,1
"142",6001423601,1
"143",6001423602,6
"144",6001423700,1
"145",6001423800,1
"146",6001423901,1
"147",6001423902,1
"148",6001424001,2
"149",6001424002,2
"150",6001425101,8
"151",6001425102,6
"152",6001425103,1
"153",6001425104,1
"154",6001426100,1
"155",6001426200,1
"156",6001427100,1
"157",6001427200,1
"158",6001427300,7
"159",6001427600,5
"160",6001427700,1
"161",6001427800,1
"162",6001427900,7
"163",6001428000,1
"164",6001428100,7
"165",6001428200,1
"166",6001428301,1
"167",6001428302,1
"168",6001428400,1
"169",6001428500,1
"170",6001428600,1
"171",6001428700,7
"172",6001430101,1
"173",6001430102,1
"174",6001430200,1
"175",6001430300,7
"176",6001430400,1
"177",6001430500,7
"178",6001430600,1
"179",6001430700,1
"180",6001430800,7
"181",6001430900,4
"182",6001431000,5
"183",6001431100,4
"184",6001431200,7
"185",6001432100,7
"186",6001432200,7
"187",6001432300,4
"188",6001432400,4
"189",6001432501,5
"190",6001432502,4
"191",6001432600,4
"192",6001432700,7
"193",6001432800,7
"194",6001433000,4
"195",6001433102,4
"196",6001433103,5
"197",6001433104,4
"198",6001433200,2
"199",6001433300,4
"200",6001433400,4
"201",6001433500,4
"202",6001433600,4
"203",6001433700,4
"204",6001433800,4
"205",6001433900,5
"206",6001434000,5
"207",6001435102,7
"208",6001435103,1
"209",6001435104,4
"210",6001435200,7
"211",6001435300,2
"212",6001435400,4
"213",6001435500,5
"214",6001435601,5
"215",6001435602,5
"216",6001435700,4
"217",6001435800,4
"218",6001435900,4
"219",6001436000,4
"220",6001436100,4
"221",6001436200,5
"222",6001436300,5
"223",6001436401,4
"224",6001436402,7
"225",6001436500,5
"226",6001436601,5
"227",6001436602,5
"228",6001436700,4
"229",6001436800,4
"230",6001436900,5
"231",6001437000,7
"232",6001437101,4
"233",6001437102,4
"234",6001437200,2
"235",6001437300,4
"236",6001437400,5
"237",6001437500,5
"238",6001437600,5
"239",6001437701,5
"240",6001437702,5
"241",6001437800,4
"242",6001437900,5
"243",6001438000,4
"244",6001438100,4
"245",6001438201,5
"246",6001438203,4
"247",6001438204,4
"248",6001438300,4
"249",6001438400,4
"250",6001440100,4
"251",6001440200,4
"252",6001440301,4
"253",6001440304,4
"254",6001440305,4
"255",6001440306,4
"256",6001440307,4
"257",6001440308,4
"258",6001440331,4
"259",6001440332,1
"260",6001440333,4
"261",6001440334,4
"262",6001440335,4
"263",6001440336,4
"264",6001441100,7
"265",6001441200,1
"266",6001441301,1
"267",6001441302,1
"268",6001441401,7
"269",6001441402,4
"270",6001441501,4
"271",6001441503,1
"272",6001441521,4
"273",6001441522,4
"274",6001441523,4
"275",6001441524,1
"276",6001441601,4
"277",6001441602,4
"278",6001441700,4
"279",6001441800,7
"280",6001441921,1
"281",6001441923,6
"282",6001441924,4
"283",6001441925,1
"284",6001441926,4
"285",6001441927,6
"286",6001442000,1
"287",6001442100,1
"288",6001442200,1
"289",6001442301,1
"290",6001442302,1
"291",6001442400,4
"292",6001442500,4
"293",6001442601,7
"294",6001442602,4
"295",6001442700,7
"296",6001442800,4
"297",6001442900,4
"298",6001443001,4
"299",6001443002,4
"300",6001443102,1
"301",6001443103,1
"302",6001443104,1
"303",6001443105,1
"304",6001443200,1
"305",6001443301,1
"306",6001443321,4
"307",6001443322,1
"308",6001444100,7
"309",6001444200,4
"310",6001444301,1
"311",6001444302,4
"312",6001444400,4
"313",6001444500,4
"314",6001444601,4
"315",6001444602,4
"316",6001450101,1
"317",6001450102,7
"318",6001450200,1
"319",6001450300,7
"320",6001450400,7
"321",6001450501,7
"322",6001450502,1
"323",6001450601,1
"324",6001450602,1
"325",6001450603,1
"326",6001450604,1
"327",6001450605,1
"328",6001450606,1
"329",6001450607,7
"330",6001450701,1
"331",6001450741,7
"332",6001450742,1
"333",6001450743,1
"334",6001450744,1
"335",6001450745,1
"336",6001450746,1
"337",6001450750,1
"338",6001450751,1
"339",6001450752,1
"340",6001451101,1
"341",6001451102,1
"342",6001451201,7
"343",6001451202,1
"344",6001451300,1
"345",6001451401,7
"346",6001451403,7
"347",6001451404,7
"348",6001451501,1
"349",6001451503,1
"350",6001451504,1
"351",6001451505,1
"352",6001451506,7
"353",6001451601,1
"354",6001451602,1
"355",6001451701,7
"356",6001451703,1
"357",6001451704,1
"358",6001982000,7
"359",6001983200,8
"360",6013301000,7
"361",6013302005,7
"362",6013302006,7
"363",6013302007,7
"364",6013302008,7
"365",6013302009,4
"366",6013302010,7
"367",6013303102,7
"368",6013303103,7
"369",6013303201,7
"370",6013303202,7
"371",6013303203,7
"372",6013303204,7
"373",6013303205,7
"374",6013304001,1
"375",6013304002,7
"376",6013304003,7
"377",6013304004,1
"378",6013304005,7
"379",6013305000,5
"380",6013306002,7
"381",6013306003,5
"382",6013306004,7
"383",6013307101,7
"384",6013307102,7
"385",6013307201,5
"386",6013307202,5
"387",6013307204,7
"388",6013307205,4
"389",6013308001,7
"390",6013308002,7
"391",6013309000,2
"392",6013310000,5
"393",6013311000,5
"394",6013312000,5
"395",6013313101,4
"396",6013313102,4
"397",6013313103,7
"398",6013313203,4
"399",6013313204,5
"400",6013313205,4
"401",6013313206,5
"402",6013314102,5
"403",6013314103,5
"404",6013314104,5
"405",6013314200,5
"406",6013315000,7
"407",6013316000,5
"408",6013317000,7
"409",6013318000,7
"410",6013319000,7
"411",6013320001,7
"412",6013320003,1
"413",6013320004,7
"414",6013321101,7
"415",6013321102,1
"416",6013321103,1
"417",6013321200,4
"418",6013322000,1
"419",6013323000,1
"420",6013324001,5
"421",6013324002,8
"422",6013325000,7
"423",6013326000,7
"424",6013327000,7
"425",6013328000,5
"426",6013329000,7
"427",6013330000,7
"428",6013331000,7
"429",6013332000,7
"430",6013333101,7
"431",6013333102,7
"432",6013333200,7
"433",6013334001,7
"434",6013334004,7
"435",6013334006,1
"436",6013334200,1
"437",6013335000,7
"438",6013336101,5
"439",6013336102,5
"440",6013336201,5
"441",6013336202,5
"442",6013337100,7
"443",6013337200,7
"444",6013337300,1
"445",6013338101,5
"446",6013338102,1
"447",6013338201,1
"448",6013338203,8
"449",6013338204,1
"450",6013338301,1
"451",6013338302,1
"452",6013339001,5
"453",6013339002,8
"454",6013340001,7
"455",6013340002,1
"456",6013341000,1
"457",6013343001,7
"458",6013343002,1
"459",6013343003,1
